timeMs,ax,ay,az,q0,q1,q2,q3
8239818,-1556.0,8156.0,420.0,0.668,0.583,0.365,0.283
8239845,-1690.0,8264.0,454.0,0.67,0.581,0.364,0.284
8239861,-1772.0,7710.0,632.0,0.672,0.579,0.363,0.286
8239878,-1870.0,7482.0,794.0,0.673,0.576,0.363,0.287
8239895,-1988.0,7512.0,894.0,0.675,0.574,0.363,0.288
8239911,-2048.0,7956.0,636.0,0.676,0.572,0.363,0.289
8239927,-2046.0,8028.0,838.0,0.678,0.57,0.362,0.29
8239944,-2210.0,7482.0,1100.0,0.681,0.568,0.36,0.291
8239960,-2416.0,7558.0,1016.0,0.682,0.567,0.358,0.291
8239986,-2566.0,7746.0,1050.0,0.684,0.567,0.357,0.291
8240003,-2574.0,8036.0,1046.0,0.684,0.567,0.355,0.29
8240020,-2418.0,8210.0,906.0,0.685,0.568,0.353,0.29
8240037,-2290.0,8342.0,796.0,0.685,0.569,0.351,0.289
8240053,-2162.0,8584.0,716.0,0.686,0.57,0.349,0.289
8240070,-1982.0,8268.0,794.0,0.686,0.57,0.347,0.289
8240087,-1886.0,7896.0,958.0,0.687,0.571,0.344,0.29
8240104,-1564.0,7804.0,1038.0,0.687,0.571,0.342,0.291
8240120,-1440.0,7398.0,1232.0,0.688,0.571,0.34,0.292
8240137,-1578.0,7676.0,1252.0,0.688,0.571,0.339,0.293
8240164,-1348.0,8258.0,1294.0,0.688,0.571,0.338,0.294
8240181,-1504.0,8190.0,1440.0,0.688,0.572,0.338,0.294
8240198,-1712.0,8886.0,1206.0,0.688,0.572,0.337,0.295
8240214,-1492.0,8170.0,1256.0,0.689,0.571,0.336,0.295
8240230,-1432.0,7650.0,1332.0,0.69,0.57,0.335,0.295
8240247,-1288.0,7408.0,1264.0,0.69,0.57,0.335,0.295
8240263,-1298.0,7444.0,1276.0,0.691,0.569,0.335,0.294
8240279,-1422.0,7804.0,1116.0,0.692,0.569,0.335,0.293
8240305,-1820.0,8134.0,1330.0,0.692,0.568,0.335,0.292
8240321,-1396.0,8230.0,1424.0,0.692,0.568,0.335,0.292
8240337,-1240.0,7836.0,1144.0,0.692,0.568,0.337,0.292
8240354,-1326.0,7966.0,972.0,0.691,0.569,0.338,0.291
8240371,-1438.0,7752.0,1068.0,0.689,0.57,0.341,0.291
8240388,-1458.0,7364.0,1388.0,0.687,0.572,0.343,0.29
8240404,-1626.0,7492.0,1422.0,0.683,0.575,0.345,0.289
8240421,-1788.0,7564.0,1500.0,0.68,0.578,0.348,0.288
8240447,-2002.0,7784.0,1408.0,0.676,0.582,0.35,0.286
8240464,-1646.0,8588.0,908.0,0.671,0.586,0.352,0.286
8240480,-1444.0,9056.0,406.0,0.668,0.589,0.354,0.286
8240497,-1520.0,9070.0,682.0,0.665,0.591,0.356,0.287
8240514,-1352.0,8632.0,690.0,0.663,0.591,0.357,0.288
8240530,-1252.0,9628.0,362.0,0.662,0.591,0.358,0.291
8240547,-982.0,9294.0,458.0,0.662,0.589,0.359,0.294
8240563,-398.0,7578.0,736.0,0.661,0.588,0.358,0.299
8240579,-962.0,7390.0,848.0,0.661,0.586,0.359,0.302
8240605,-768.0,6604.0,1198.0,0.66,0.584,0.361,0.305
8240621,-1344.0,6450.0,840.0,0.659,0.582,0.364,0.307
8240638,-1504.0,6932.0,712.0,0.657,0.581,0.369,0.308
8240654,-1672.0,8342.0,442.0,0.655,0.579,0.374,0.309
8240670,-1420.0,9938.0,-32.0,0.654,0.577,0.379,0.311
8240686,-938.0,10414.0,-138.0,0.654,0.573,0.381,0.314
8240712,-1108.0,9238.0,238.0,0.657,0.567,0.382,0.319
8240728,-748.0,7520.0,710.0,0.659,0.561,0.382,0.324
8240744,-1260.0,7240.0,-238.0,0.662,0.556,0.381,0.328
8240761,-1204.0,7454.0,366.0,0.665,0.553,0.378,0.331
8240777,-2232.0,8146.0,298.0,0.668,0.552,0.373,0.332
8240793,-1894.0,8314.0,546.0,0.671,0.552,0.367,0.332
8240810,-2252.0,9350.0,-402.0,0.674,0.554,0.358,0.332
8240827,-1712.0,7506.0,150.0,0.678,0.556,0.347,0.333
8240853,-1556.0,8580.0,1422.0,0.683,0.557,0.332,0.336
8240870,-1966.0,7234.0,3248.0,0.689,0.556,0.319,0.338
8240886,-1906.0,8736.0,3990.0,0.693,0.557,0.308,0.34
8240902,-1940.0,8904.0,4526.0,0.697,0.556,0.295,0.343
8240919,-1248.0,8768.0,4254.0,0.702,0.553,0.283,0.348
8240935,-1452.0,7746.0,3234.0,0.707,0.549,0.273,0.352
8240961,-908.0,7090.0,2020.0,0.712,0.545,0.264,0.356
8240977,-20.0,6560.0,1488.0,0.715,0.542,0.256,0.361
