timeMs,ax,ay,az,q0,q1,q2,q3
5677220,2824.0,5937.0,4895.0,0.669,0.425,0.123,0.597
5677236,2812.0,5903.0,4929.0,0.669,0.426,0.123,0.597
5677252,2796.0,5865.0,4829.0,0.669,0.426,0.123,0.597
5677278,2776.0,5813.0,4851.0,0.668,0.426,0.123,0.597
5677294,2908.0,6019.0,4803.0,0.668,0.427,0.123,0.597
5677310,2750.0,6259.0,4905.0,0.668,0.427,0.123,0.597
5677326,2772.0,5945.0,5013.0,0.668,0.427,0.123,0.597
5677342,2744.0,6211.0,4867.0,0.668,0.427,0.124,0.597
5677358,2624.0,6083.0,4815.0,0.668,0.427,0.124,0.597
5677384,2668.0,5907.0,5059.0,0.668,0.427,0.124,0.597
5677400,2702.0,5931.0,4939.0,0.668,0.427,0.123,0.597
5677416,2722.0,6025.0,4895.0,0.668,0.427,0.123,0.596
5677432,2834.0,5943.0,5039.0,0.669,0.426,0.123,0.596
5677448,2878.0,5835.0,5013.0,0.669,0.426,0.123,0.597
5677474,2882.0,5853.0,4973.0,0.669,0.426,0.123,0.597
5677490,2816.0,5823.0,4877.0,0.669,0.425,0.123,0.597
5677507,2818.0,5863.0,4873.0,0.669,0.425,0.123,0.597
5677523,2814.0,5947.0,4823.0,0.668,0.426,0.123,0.598
5677539,2792.0,5933.0,4841.0,0.668,0.426,0.123,0.598
5677556,2842.0,6059.0,4853.0,0.668,0.426,0.123,0.598
5677572,2846.0,6037.0,4833.0,0.668,0.426,0.123,0.598
5677598,2790.0,6119.0,4761.0,0.667,0.426,0.123,0.598
5677614,2684.0,5949.0,4929.0,0.668,0.426,0.124,0.598
5677630,2800.0,5891.0,4959.0,0.667,0.427,0.124,0.598
5677646,2772.0,6253.0,4807.0,0.668,0.427,0.124,0.597
5677662,2704.0,6127.0,4947.0,0.668,0.427,0.124,0.597
5677678,2754.0,5877.0,5103.0,0.668,0.427,0.124,0.597
5677704,2704.0,5893.0,5001.0,0.669,0.427,0.124,0.596
5677720,2712.0,5813.0,5011.0,0.669,0.427,0.123,0.596
5677737,2760.0,5761.0,5017.0,0.669,0.426,0.123,0.596
5677753,2834.0,5803.0,5005.0,0.669,0.426,0.123,0.596
5677769,2864.0,5777.0,4943.0,0.669,0.426,0.123,0.597
5677785,2908.0,5849.0,4979.0,0.669,0.426,0.123,0.597
5677801,2908.0,5887.0,4991.0,0.669,0.425,0.123,0.597
5677827,2800.0,5855.0,4857.0,0.668,0.425,0.123,0.598
5677843,2794.0,5959.0,4805.0,0.668,0.426,0.123,0.598
5677859,2786.0,6047.0,4769.0,0.667,0.426,0.123,0.598
5677875,2748.0,6045.0,4757.0,0.667,0.426,0.124,0.599
5677892,2756.0,6097.0,4771.0,0.667,0.426,0.124,0.599
5677908,2764.0,6255.0,4705.0,0.667,0.426,0.124,0.599
5677934,2756.0,5975.0,4935.0,0.667,0.427,0.124,0.598
5677950,2788.0,5979.0,4895.0,0.667,0.427,0.124,0.598
5677966,2684.0,6161.0,4843.0,0.667,0.427,0.124,0.598
5677982,2726.0,5851.0,5051.0,0.667,0.427,0.124,0.598
5677998,2676.0,5859.0,5085.0,0.668,0.427,0.124,0.597
5678014,2740.0,5969.0,4957.0,0.668,0.427,0.124,0.597
5678040,2764.0,5889.0,4985.0,0.668,0.426,0.124,0.597
5678056,2846.0,5793.0,5051.0,0.668,0.426,0.123,0.597
5678073,2882.0,5851.0,4963.0,0.668,0.426,0.123,0.598
5678090,2858.0,5887.0,4907.0,0.668,0.426,0.123,0.598
5678106,2858.0,5911.0,4903.0,0.668,0.426,0.123,0.598
5678123,2788.0,5933.0,4839.0,0.667,0.426,0.124,0.598
5678139,2808.0,5999.0,4785.0,0.667,0.426,0.124,0.599
5678155,2814.0,6083.0,4723.0,0.667,0.426,0.124,0.599
5678181,2770.0,6121.0,4777.0,0.667,0.426,0.124,0.599
5678197,2816.0,6005.0,4761.0,0.666,0.426,0.124,0.599
5678213,2710.0,6219.0,4767.0,0.666,0.427,0.124,0.599
5678229,2756.0,5919.0,5013.0,0.667,0.427,0.124,0.599
5678245,2792.0,5983.0,4945.0,0.667,0.427,0.124,0.598
