timeMs,ax,ay,az,q0,q1,q2,q3
4931069,3546.0,5096.0,5467.0,0.909,0.355,-0.195,0.099
4931085,3572.0,5010.0,5491.0,0.909,0.355,-0.195,0.099
4931102,3548.0,4946.0,5533.0,0.909,0.355,-0.195,0.1
4931119,3506.0,4992.0,5487.0,0.909,0.356,-0.195,0.1
4931136,3516.0,5066.0,5465.0,0.909,0.356,-0.195,0.1
4931152,3536.0,5012.0,5471.0,0.908,0.356,-0.195,0.1
4931173,3544.0,4956.0,5505.0,0.908,0.356,-0.195,0.1
4931191,3540.0,4988.0,5483.0,0.908,0.356,-0.195,0.1
4931207,3548.0,5000.0,5445.0,0.908,0.356,-0.195,0.1
4931223,3506.0,4992.0,5473.0,0.908,0.357,-0.195,0.1
4931249,3482.0,5022.0,5441.0,0.908,0.357,-0.194,0.1
4931265,3602.0,4992.0,5443.0,0.908,0.357,-0.194,0.1
4931281,3508.0,4958.0,5443.0,0.908,0.358,-0.193,0.1
4931297,3496.0,4974.0,5437.0,0.908,0.358,-0.193,0.1
4931313,3446.0,5096.0,5437.0,0.908,0.358,-0.192,0.1
4931329,3440.0,5030.0,5461.0,0.908,0.359,-0.192,0.1
4931355,3444.0,5028.0,5537.0,0.908,0.359,-0.192,0.1
4931372,3434.0,5068.0,5457.0,0.908,0.359,-0.191,0.101
4931389,3440.0,5096.0,5433.0,0.908,0.36,-0.191,0.101
4931405,3484.0,5100.0,5495.0,0.908,0.36,-0.191,0.101
4931421,3438.0,5078.0,5439.0,0.908,0.36,-0.191,0.101
4931438,3532.0,5108.0,5461.0,0.908,0.36,-0.191,0.101
4931454,3468.0,5078.0,5407.0,0.907,0.36,-0.19,0.101
4931471,3460.0,5116.0,5433.0,0.907,0.361,-0.19,0.101
4931497,3446.0,5064.0,5467.0,0.907,0.361,-0.19,0.101
4931513,3430.0,5046.0,5439.0,0.907,0.361,-0.19,0.102
4931529,3460.0,5034.0,5435.0,0.907,0.361,-0.19,0.102
4931546,3492.0,5112.0,5513.0,0.907,0.361,-0.19,0.102
4931562,3470.0,5096.0,5477.0,0.907,0.361,-0.19,0.102
4931578,3494.0,5078.0,5453.0,0.907,0.361,-0.19,0.102
4931595,3456.0,5040.0,5417.0,0.907,0.362,-0.19,0.102
4931621,3384.0,5152.0,5405.0,0.907,0.362,-0.189,0.102
4931637,3442.0,5106.0,5425.0,0.907,0.362,-0.189,0.102
4931654,3420.0,5070.0,5493.0,0.907,0.362,-0.189,0.102
4931670,3454.0,5026.0,5419.0,0.907,0.362,-0.189,0.103
4931690,3428.0,5154.0,5439.0,0.907,0.362,-0.189,0.103
4931706,3472.0,5030.0,5457.0,0.907,0.362,-0.189,0.103
4931723,3474.0,4998.0,5423.0,0.907,0.362,-0.189,0.103
4931739,3522.0,5082.0,5443.0,0.907,0.362,-0.189,0.103
4931755,3510.0,5062.0,5417.0,0.907,0.362,-0.189,0.103
4931771,3442.0,5120.0,5449.0,0.907,0.362,-0.189,0.103
4931798,3440.0,5012.0,5455.0,0.907,0.362,-0.189,0.103
4931815,3392.0,5086.0,5477.0,0.907,0.362,-0.189,0.104
4931832,3366.0,5080.0,5471.0,0.907,0.362,-0.189,0.104
4931848,3448.0,5122.0,5493.0,0.907,0.362,-0.189,0.104
4931864,3424.0,5098.0,5443.0,0.907,0.362,-0.189,0.104
4931880,3456.0,5078.0,5451.0,0.907,0.362,-0.189,0.104
4931896,3412.0,5076.0,5413.0,0.907,0.363,-0.188,0.104
