timeMs,ax,ay,az,q0,q1,q2,q3
3374889,-3478.0,15872.0,-723.0,0.616,0.678,0.354,0.187
3374906,-2250.0,5228.0,-1251.0,0.626,0.669,0.352,0.191
3374923,-1834.0,4982.0,-693.0,0.633,0.664,0.349,0.19
3374939,-1568.0,5566.0,-745.0,0.639,0.662,0.345,0.189
3374965,-996.0,5224.0,-403.0,0.644,0.66,0.338,0.189
3374982,-858.0,5370.0,-151.0,0.648,0.659,0.329,0.191
3374998,-768.0,5274.0,-397.0,0.652,0.658,0.321,0.194
3375014,-1322.0,6004.0,-29.0,0.655,0.658,0.314,0.197
3375031,-2140.0,8930.0,483.0,0.655,0.66,0.311,0.199
3375048,-2592.0,11130.0,783.0,0.655,0.66,0.309,0.2
3375064,-2268.0,11008.0,331.0,0.656,0.659,0.307,0.202
3375080,-1810.0,8796.0,-145.0,0.658,0.657,0.306,0.204
3375097,-1508.0,6716.0,-205.0,0.66,0.656,0.304,0.206
3375124,-1422.0,6156.0,-55.0,0.66,0.655,0.303,0.208
3375140,-1528.0,6356.0,265.0,0.66,0.656,0.302,0.21
3375157,-1490.0,7042.0,311.0,0.659,0.656,0.301,0.211
3375173,-1440.0,7616.0,315.0,0.658,0.657,0.3,0.212
3375190,-1664.0,8592.0,323.0,0.657,0.658,0.3,0.214
3375207,-1492.0,9074.0,43.0,0.655,0.659,0.301,0.215
3375224,-1562.0,8596.0,-97.0,0.655,0.659,0.301,0.216
3375241,-1524.0,7862.0,-73.0,0.653,0.659,0.302,0.218
3375258,-1368.0,7886.0,-113.0,0.652,0.659,0.303,0.22
3375274,-1398.0,7762.0,89.0,0.651,0.66,0.304,0.221
3375300,-1328.0,7660.0,143.0,0.649,0.66,0.305,0.222
3375316,-1318.0,7898.0,107.0,0.648,0.661,0.306,0.223
3375332,-1222.0,8148.0,-31.0,0.646,0.662,0.307,0.224
3375349,-1250.0,8562.0,-115.0,0.644,0.663,0.309,0.225
3375366,-1242.0,8214.0,-123.0,0.643,0.663,0.31,0.226
