timeMs,ax,ay,az,q0,q1,q2,q3
6399597,3989.0,4114.0,5779.0,0.88,0.349,-0.18,0.266
6399613,4029.0,4162.0,5799.0,0.88,0.349,-0.18,0.267
6399629,4037.0,4184.0,5825.0,0.88,0.349,-0.18,0.267
6399645,4067.0,4182.0,5807.0,0.88,0.349,-0.18,0.267
6399661,3993.0,4218.0,5747.0,0.88,0.349,-0.18,0.267
6399687,4041.0,4174.0,5825.0,0.88,0.349,-0.18,0.268
6399703,4027.0,4206.0,5785.0,0.88,0.349,-0.18,0.268
6399720,3967.0,4240.0,5797.0,0.88,0.349,-0.18,0.268
6399736,3979.0,4180.0,5797.0,0.88,0.349,-0.18,0.268
6399753,3981.0,4226.0,5797.0,0.88,0.349,-0.18,0.269
6399770,3997.0,4230.0,5767.0,0.88,0.349,-0.18,0.269
6399786,4029.0,4198.0,5773.0,0.88,0.349,-0.18,0.269
6399802,4065.0,4176.0,5773.0,0.88,0.349,-0.18,0.269
6399828,4163.0,4094.0,5749.0,0.88,0.348,-0.18,0.269
6399844,4199.0,4134.0,5773.0,0.88,0.348,-0.18,0.269
6399860,4161.0,4062.0,5793.0,0.88,0.348,-0.18,0.27
6399877,4129.0,4106.0,5751.0,0.879,0.348,-0.18,0.27
6399893,4053.0,4106.0,5821.0,0.879,0.348,-0.18,0.27
6399909,4021.0,4086.0,5843.0,0.879,0.348,-0.179,0.271
6399926,4029.0,4124.0,5807.0,0.879,0.349,-0.179,0.271
6399953,3949.0,4184.0,5791.0,0.879,0.349,-0.179,0.271
6399969,3945.0,4228.0,5779.0,0.879,0.349,-0.178,0.271
6399985,3971.0,4254.0,5727.0,0.879,0.349,-0.178,0.272
6400001,4035.0,4292.0,5751.0,0.879,0.35,-0.178,0.272
6400018,4071.0,4284.0,5719.0,0.879,0.35,-0.178,0.272
6400034,3959.0,4232.0,5713.0,0.879,0.349,-0.178,0.272
6400051,4053.0,4244.0,5793.0,0.879,0.349,-0.178,0.272
6400067,4051.0,4178.0,5793.0,0.879,0.349,-0.178,0.272
6400093,4061.0,4158.0,5779.0,0.879,0.349,-0.178,0.272
6400109,4089.0,4096.0,5809.0,0.879,0.349,-0.179,0.273
6400125,4065.0,4104.0,5825.0,0.879,0.348,-0.179,0.273
6400141,4039.0,4094.0,5809.0,0.879,0.348,-0.179,0.273
6400157,4059.0,4102.0,5825.0,0.879,0.348,-0.179,0.273
6400183,4033.0,4132.0,5807.0,0.879,0.349,-0.178,0.273
6400199,4001.0,4166.0,5789.0,0.878,0.349,-0.178,0.274
6400215,4063.0,4168.0,5799.0,0.878,0.349,-0.178,0.274
6400231,4049.0,4202.0,5707.0,0.878,0.349,-0.178,0.274
6400247,4043.0,4240.0,5735.0,0.878,0.349,-0.178,0.274
6400263,4043.0,4270.0,5797.0,0.878,0.349,-0.177,0.274
6400289,3979.0,4220.0,5817.0,0.878,0.349,-0.177,0.275
6400306,4003.0,4228.0,5793.0,0.878,0.349,-0.177,0.275
6400322,4045.0,4210.0,5759.0,0.878,0.349,-0.178,0.275
6400339,4085.0,4134.0,5785.0,0.878,0.349,-0.178,0.275
6400356,4093.0,4118.0,5751.0,0.878,0.349,-0.178,0.275
6400372,4137.0,4096.0,5733.0,0.878,0.349,-0.178,0.275
6400389,4141.0,4070.0,5791.0,0.878,0.349,-0.178,0.275
6400405,4075.0,4092.0,5821.0,0.878,0.349,-0.177,0.276
6400422,4057.0,4116.0,5823.0,0.878,0.349,-0.177,0.276
6400448,4007.0,4118.0,5807.0,0.878,0.349,-0.177,0.276
6400465,3991.0,4164.0,5793.0,0.878,0.349,-0.177,0.277
6400482,4043.0,4212.0,5815.0,0.878,0.349,-0.177,0.277
6400498,3957.0,4266.0,5719.0,0.877,0.35,-0.177,0.277
6400514,4027.0,4222.0,5751.0,0.877,0.35,-0.176,0.277
6400530,4067.0,4238.0,5781.0,0.877,0.35,-0.176,0.278
6400547,4021.0,4316.0,5817.0,0.877,0.35,-0.176,0.278
6400563,3879.0,4226.0,5843.0,0.877,0.35,-0.176,0.278
6400590,3913.0,4260.0,5827.0,0.877,0.35,-0.177,0.278
6400607,3903.0,4144.0,5877.0,0.877,0.349,-0.177,0.278
6400623,3921.0,4208.0,5797.0,0.877,0.349,-0.178,0.278
6400639,4009.0,4136.0,5799.0,0.877,0.349,-0.178,0.278
6400655,4131.0,4100.0,5729.0,0.877,0.349,-0.179,0.279
6400672,4209.0,4164.0,5633.0,0.876,0.349,-0.18,0.279
6400688,4303.0,4048.0,5705.0,0.876,0.349,-0.18,0.279
6400714,4299.0,4014.0,5731.0,0.876,0.349,-0.18,0.279
6400731,4263.0,3980.0,5705.0,0.876,0.349,-0.18,0.279
6400747,4297.0,4028.0,5703.0,0.876,0.35,-0.18,0.28
6400767,4261.0,3986.0,5791.0,0.876,0.35,-0.18,0.28
6400784,4247.0,4002.0,5789.0,0.875,0.35,-0.18,0.281
6400800,4127.0,4084.0,5781.0,0.875,0.351,-0.179,0.281
6400817,4139.0,4180.0,5763.0,0.875,0.352,-0.179,0.282
6400834,4029.0,4222.0,5811.0,0.875,0.352,-0.178,0.282
6400851,4001.0,4284.0,5823.0,0.874,0.353,-0.177,0.282
6400868,4043.0,4298.0,5705.0,0.874,0.353,-0.177,0.283
6400884,4061.0,4298.0,5725.0,0.874,0.353,-0.177,0.283
6400901,4015.0,4290.0,5675.0,0.874,0.354,-0.176,0.283
6400917,4035.0,4380.0,5667.0,0.874,0.354,-0.176,0.284
6400943,4057.0,4350.0,5691.0,0.874,0.354,-0.176,0.284
6400959,4033.0,4306.0,5687.0,0.874,0.354,-0.176,0.284
6400975,4067.0,4234.0,5739.0,0.874,0.353,-0.176,0.284
6400992,4053.0,4246.0,5695.0,0.874,0.353,-0.176,0.284
6401008,4107.0,4228.0,5725.0,0.874,0.353,-0.176,0.284
6401024,4103.0,4332.0,5705.0,0.874,0.353,-0.176,0.284
6401050,4133.0,4196.0,5651.0,0.874,0.352,-0.176,0.284
6401067,4103.0,4190.0,5737.0,0.874,0.352,-0.176,0.284
6401083,4167.0,4008.0,5713.0,0.874,0.352,-0.176,0.284
6401100,4147.0,4108.0,5645.0,0.874,0.352,-0.176,0.284
6401117,4155.0,4066.0,5733.0,0.874,0.352,-0.176,0.284
6401134,4163.0,4112.0,5747.0,0.874,0.352,-0.175,0.285
6401151,4153.0,4140.0,5681.0,0.874,0.352,-0.175,0.285
6401167,4083.0,4222.0,5735.0,0.875,0.352,-0.174,0.285
6401183,4015.0,4122.0,5807.0,0.875,0.352,-0.173,0.285
6401209,3927.0,4224.0,5773.0,0.875,0.352,-0.172,0.285
6401225,3867.0,4248.0,5839.0,0.875,0.352,-0.172,0.286
6401242,3865.0,4312.0,5823.0,0.875,0.352,-0.171,0.286
6401258,3893.0,4366.0,5765.0,0.874,0.353,-0.172,0.286
6401274,4029.0,4384.0,5691.0,0.874,0.353,-0.172,0.286
6401290,4073.0,4312.0,5691.0,0.874,0.353,-0.172,0.286
6401307,4125.0,4254.0,5705.0,0.874,0.352,-0.173,0.286
6401324,4079.0,4234.0,5733.0,0.874,0.352,-0.173,0.286
6401350,4109.0,4202.0,5739.0,0.874,0.351,-0.173,0.286
6401367,4059.0,4116.0,5777.0,0.874,0.351,-0.174,0.286
6401383,4085.0,4116.0,5727.0,0.874,0.351,-0.174,0.287
6401399,4083.0,4064.0,5839.0,0.874,0.35,-0.174,0.287
6401415,4067.0,4106.0,5777.0,0.874,0.35,-0.174,0.287
6401431,4091.0,4128.0,5753.0,0.874,0.351,-0.174,0.287
6401448,4161.0,4140.0,5749.0,0.874,0.351,-0.173,0.287
6401474,4213.0,4142.0,5731.0,0.874,0.351,-0.173,0.288
6401490,4169.0,4126.0,5687.0,0.874,0.351,-0.173,0.288
6401506,4145.0,4130.0,5711.0,0.874,0.352,-0.172,0.289
6401522,4007.0,4198.0,5767.0,0.874,0.352,-0.172,0.289
6401538,3893.0,4202.0,5863.0,0.874,0.352,-0.171,0.289
6401554,3699.0,4354.0,5861.0,0.873,0.353,-0.171,0.29
6401580,3513.0,4350.0,5813.0,0.873,0.353,-0.171,0.29
6401597,3447.0,4394.0,5851.0,0.872,0.354,-0.173,0.291
6401613,3627.0,4536.0,5823.0,0.871,0.354,-0.174,0.291
