timeMs,ax,ay,az,q0,q1,q2,q3
3649832,-3522.0,9834.0,-5.0,0.628,0.624,0.393,0.249
3649848,-4780.0,11010.0,707.0,0.621,0.618,0.41,0.254
3649864,-4998.0,9644.0,1385.0,0.616,0.615,0.419,0.259
3649880,-4976.0,7946.0,1243.0,0.613,0.614,0.424,0.261
3649896,-4402.0,8026.0,1447.0,0.611,0.616,0.423,0.26
3649912,-3518.0,8306.0,277.0,0.612,0.619,0.418,0.258
3649938,-2714.0,8756.0,-1091.0,0.614,0.623,0.411,0.256
3649955,-2290.0,9584.0,-807.0,0.617,0.627,0.401,0.256
3649971,-2126.0,9936.0,45.0,0.621,0.63,0.389,0.258
3649987,-2080.0,8548.0,-137.0,0.627,0.631,0.375,0.261
3650003,-1942.0,7012.0,-151.0,0.633,0.631,0.362,0.264
3650020,-1640.0,6256.0,-765.0,0.638,0.632,0.351,0.266
3650037,-1178.0,7356.0,-579.0,0.641,0.633,0.342,0.267
3650054,-874.0,7788.0,-547.0,0.643,0.634,0.335,0.268
3650071,-856.0,6978.0,-861.0,0.646,0.634,0.329,0.27
3650097,-842.0,7906.0,-787.0,0.647,0.634,0.325,0.271
3650113,-1176.0,8394.0,-959.0,0.649,0.632,0.322,0.273
3650129,-998.0,8570.0,-403.0,0.652,0.629,0.32,0.276
3650146,-988.0,8000.0,-643.0,0.656,0.625,0.318,0.279
3650162,-1184.0,6736.0,-1001.0,0.66,0.62,0.318,0.281
3650179,-1168.0,7258.0,-407.0,0.662,0.617,0.319,0.283
3650195,-1292.0,7858.0,-93.0,0.663,0.614,0.322,0.283
3650212,-1138.0,7926.0,91.0,0.665,0.61,0.324,0.283
3650238,-1012.0,7988.0,507.0,0.666,0.607,0.327,0.283
3650254,-904.0,7718.0,711.0,0.668,0.604,0.331,0.283
3650270,-896.0,6972.0,769.0,0.668,0.601,0.336,0.283
3650287,-1144.0,6498.0,503.0,0.666,0.599,0.342,0.282
3650304,-1270.0,6794.0,423.0,0.664,0.598,0.351,0.281
3650321,-1594.0,7554.0,179.0,0.66,0.597,0.36,0.279
3650338,-2196.0,8982.0,705.0,0.657,0.596,0.368,0.278
3650355,-2742.0,10934.0,1069.0,0.657,0.592,0.375,0.278
3650381,-2450.0,9168.0,995.0,0.659,0.587,0.378,0.28
3650398,-2518.0,7768.0,977.0,0.662,0.582,0.38,0.282
3650415,-2572.0,7490.0,1145.0,0.664,0.578,0.381,0.283
3650431,-2606.0,7082.0,1609.0,0.666,0.576,0.381,0.283
3650448,-2668.0,7352.0,1441.0,0.667,0.575,0.381,0.282
3650464,-2460.0,7670.0,1297.0,0.668,0.576,0.379,0.28
3650480,-2174.0,7758.0,1129.0,0.669,0.577,0.376,0.278
3650497,-2078.0,7600.0,1219.0,0.669,0.579,0.374,0.277
3650514,-2094.0,7562.0,1229.0,0.669,0.581,0.371,0.276
3650531,-2048.0,7694.0,1103.0,0.669,0.584,0.368,0.275
3650558,-1770.0,7750.0,925.0,0.669,0.586,0.366,0.275
3650575,-1480.0,7684.0,797.0,0.669,0.588,0.364,0.275
3650592,-1360.0,7562.0,469.0,0.667,0.589,0.363,0.275
3650609,-1384.0,7962.0,229.0,0.666,0.591,0.363,0.276
3650627,-1316.0,8862.0,-103.0,0.664,0.592,0.363,0.277
3650643,-1230.0,9652.0,-97.0,0.664,0.591,0.363,0.28
3650660,-1724.0,8490.0,959.0,0.665,0.589,0.361,0.284
3650677,-1900.0,7766.0,769.0,0.665,0.589,0.359,0.287
3650693,-1764.0,9166.0,605.0,0.665,0.589,0.357,0.289
3650709,-1712.0,9106.0,681.0,0.666,0.588,0.353,0.292
3650726,-1308.0,8190.0,687.0,0.67,0.585,0.349,0.295
3650752,-972.0,7850.0,617.0,0.674,0.582,0.344,0.297
3650768,-870.0,7808.0,509.0,0.68,0.577,0.339,0.299
3650784,-798.0,7034.0,723.0,0.686,0.572,0.334,0.302
3650801,-1040.0,6566.0,753.0,0.691,0.567,0.33,0.303
3650817,-1394.0,5962.0,607.0,0.693,0.566,0.329,0.303
3650834,-1350.0,7168.0,413.0,0.692,0.567,0.33,0.301
3650850,-1474.0,6852.0,231.0,0.691,0.568,0.333,0.299
3650867,-1248.0,7274.0,439.0,0.689,0.568,0.337,0.298
3650893,-1514.0,7624.0,911.0,0.687,0.569,0.342,0.297
3650910,-1210.0,8598.0,1241.0,0.685,0.569,0.348,0.295
3650927,-2326.0,8604.0,1183.0,0.684,0.566,0.353,0.293
3650944,-2422.0,8310.0,1991.0,0.686,0.563,0.357,0.293
