timeMs,ax,ay,az,q0,q1,q2,q3
6031991,5360.0,4875.0,4168.0,0.85,0.403,-0.315,0.125
6032007,4986.0,5049.0,3602.0,0.847,0.406,-0.318,0.128
6032023,5224.0,4833.0,3392.0,0.843,0.411,-0.322,0.132
6032049,5220.0,5011.0,3134.0,0.838,0.417,-0.326,0.134
6032065,5698.0,5651.0,2810.0,0.832,0.425,-0.33,0.135
6032081,6194.0,6197.0,2514.0,0.827,0.432,-0.333,0.135
6032097,6594.0,6015.0,2760.0,0.823,0.438,-0.335,0.135
6032113,6480.0,5669.0,2878.0,0.819,0.445,-0.335,0.134
6032130,6412.0,6431.0,2856.0,0.816,0.451,-0.335,0.134
6032146,6228.0,6753.0,2788.0,0.814,0.456,-0.334,0.134
6032172,6086.0,6241.0,2832.0,0.813,0.458,-0.333,0.133
6032189,5986.0,5603.0,2934.0,0.813,0.46,-0.332,0.133
6032206,5640.0,5471.0,2962.0,0.813,0.461,-0.33,0.134
6032223,5468.0,5785.0,3080.0,0.813,0.462,-0.328,0.134
6032239,5276.0,5851.0,3212.0,0.814,0.461,-0.327,0.135
6032255,5200.0,5629.0,3354.0,0.815,0.46,-0.326,0.135
6032271,5106.0,5319.0,3440.0,0.816,0.458,-0.326,0.136
6032287,5068.0,5353.0,3502.0,0.817,0.456,-0.325,0.137
6032313,4896.0,5445.0,3712.0,0.818,0.454,-0.325,0.138
6032330,4838.0,5295.0,3880.0,0.819,0.452,-0.325,0.139
6032346,4880.0,5327.0,3884.0,0.82,0.449,-0.325,0.139
6032363,4978.0,5311.0,3890.0,0.821,0.447,-0.326,0.14
6032380,5058.0,5139.0,3744.0,0.822,0.446,-0.327,0.14
6032397,4962.0,4907.0,3790.0,0.822,0.444,-0.328,0.14
6032414,5100.0,5021.0,3634.0,0.823,0.443,-0.328,0.14
6032431,5192.0,5009.0,3578.0,0.823,0.442,-0.329,0.14
6032447,5134.0,4955.0,3636.0,0.823,0.441,-0.33,0.14
6032473,5302.0,5163.0,3588.0,0.823,0.441,-0.331,0.139
6032489,5296.0,5095.0,3604.0,0.823,0.44,-0.332,0.139
6032506,5476.0,5157.0,3538.0,0.822,0.44,-0.333,0.138
6032522,5528.0,5117.0,3544.0,0.822,0.44,-0.334,0.137
6032539,5536.0,5095.0,3540.0,0.822,0.44,-0.336,0.137
6032556,5352.0,5007.0,3532.0,0.822,0.439,-0.337,0.136
6032573,5356.0,5189.0,3540.0,0.821,0.438,-0.339,0.135
6032590,5434.0,4961.0,3516.0,0.821,0.438,-0.341,0.134
6032606,5494.0,4979.0,3584.0,0.821,0.437,-0.343,0.133
6032632,5510.0,4987.0,3522.0,0.821,0.436,-0.344,0.133
6032649,5528.0,5087.0,3554.0,0.821,0.435,-0.346,0.132
6032665,5486.0,5051.0,3444.0,0.821,0.434,-0.348,0.132
6032682,5580.0,5075.0,3494.0,0.821,0.433,-0.349,0.131
6032699,5598.0,4937.0,3336.0,0.821,0.432,-0.351,0.131
6032716,5566.0,5011.0,3446.0,0.821,0.431,-0.352,0.13
6032732,5598.0,5151.0,3368.0,0.821,0.43,-0.353,0.13
6032748,5680.0,4995.0,3406.0,0.821,0.429,-0.354,0.129
6032774,5770.0,4959.0,3408.0,0.821,0.428,-0.355,0.129
6032791,5774.0,4865.0,3418.0,0.821,0.427,-0.356,0.128
6032808,5858.0,4807.0,3582.0,0.822,0.426,-0.357,0.128
6032825,5690.0,4777.0,3518.0,0.822,0.425,-0.357,0.127
6032841,5618.0,4829.0,3352.0,0.822,0.424,-0.358,0.127
6032857,5726.0,4829.0,3572.0,0.823,0.423,-0.358,0.127
6032874,5562.0,4713.0,3486.0,0.823,0.422,-0.358,0.127
6032891,5726.0,4731.0,3536.0,0.823,0.422,-0.358,0.127
6032908,5642.0,4721.0,3464.0,0.823,0.421,-0.359,0.128
6032924,5760.0,4617.0,3538.0,0.823,0.421,-0.359,0.128
6032950,5698.0,4775.0,3596.0,0.824,0.42,-0.359,0.129
6032966,5684.0,4839.0,3594.0,0.824,0.42,-0.359,0.129
6032982,5728.0,4883.0,3524.0,0.824,0.419,-0.359,0.129
6032998,5754.0,4683.0,3494.0,0.824,0.419,-0.359,0.13
6033014,5732.0,4535.0,3542.0,0.824,0.418,-0.359,0.13
6033031,5654.0,4599.0,3568.0,0.824,0.418,-0.358,0.13
6033057,5618.0,4775.0,3512.0,0.824,0.418,-0.358,0.131
6033073,5724.0,4805.0,3516.0,0.825,0.418,-0.358,0.131
6033089,5626.0,4713.0,3604.0,0.825,0.418,-0.358,0.131
6033105,5686.0,4793.0,3490.0,0.825,0.418,-0.357,0.131
6033121,5716.0,4775.0,3478.0,0.825,0.419,-0.357,0.131
6033138,5582.0,4807.0,3540.0,0.825,0.419,-0.356,0.131
6033155,5622.0,4883.0,3576.0,0.825,0.419,-0.356,0.131
