timeMs,ax,ay,az,q0,q1,q2,q3
6882315,2111.0,3425.0,7147.0,0.956,0.244,-0.134,0.095
6882331,2187.0,3491.0,7145.0,0.956,0.244,-0.133,0.096
6882357,2117.0,3387.0,7193.0,0.956,0.243,-0.133,0.096
6882373,2187.0,3387.0,7201.0,0.956,0.243,-0.133,0.096
6882389,2123.0,3351.0,7145.0,0.956,0.243,-0.133,0.097
6882405,2155.0,3289.0,7207.0,0.956,0.243,-0.133,0.097
6882421,2157.0,3361.0,7079.0,0.956,0.243,-0.133,0.097
6882437,2143.0,3391.0,7115.0,0.956,0.243,-0.133,0.098
6882463,2109.0,3383.0,7081.0,0.956,0.243,-0.133,0.098
6882479,2147.0,3377.0,7101.0,0.956,0.243,-0.133,0.099
6882496,2221.0,3427.0,7141.0,0.956,0.243,-0.133,0.099
6882513,2195.0,3415.0,7111.0,0.956,0.243,-0.132,0.099
6882529,2181.0,3393.0,7077.0,0.956,0.243,-0.132,0.1
6882546,2165.0,3351.0,7147.0,0.956,0.242,-0.132,0.1
6882562,2179.0,3419.0,7159.0,0.956,0.242,-0.132,0.1
6882578,2157.0,3385.0,7185.0,0.956,0.242,-0.132,0.101
6882604,2093.0,3385.0,7173.0,0.956,0.242,-0.131,0.101
6882620,2111.0,3351.0,7183.0,0.956,0.242,-0.131,0.102
6882636,2083.0,3355.0,7221.0,0.956,0.242,-0.131,0.102
6882652,2169.0,3393.0,7183.0,0.956,0.242,-0.131,0.103
6882668,2129.0,3411.0,7113.0,0.956,0.242,-0.13,0.103
6882684,2177.0,3371.0,7111.0,0.956,0.242,-0.13,0.104
6882710,2187.0,3357.0,7139.0,0.956,0.242,-0.13,0.104
6882726,2193.0,3421.0,7125.0,0.956,0.242,-0.13,0.104
6882743,2245.0,3395.0,7181.0,0.956,0.242,-0.13,0.105
6882759,2169.0,3399.0,7151.0,0.956,0.242,-0.13,0.105
6882776,2117.0,3493.0,7105.0,0.956,0.243,-0.129,0.105
6882793,2107.0,3407.0,7149.0,0.956,0.243,-0.129,0.106
6882809,2105.0,3481.0,7149.0,0.956,0.243,-0.129,0.106
6882835,2147.0,3419.0,7155.0,0.956,0.243,-0.129,0.107
6882852,2159.0,3429.0,7159.0,0.956,0.243,-0.128,0.107
6882868,2103.0,3397.0,7169.0,0.956,0.242,-0.128,0.107
6882884,2105.0,3407.0,7165.0,0.956,0.242,-0.128,0.108
6882900,2139.0,3357.0,7155.0,0.956,0.242,-0.128,0.108
6882917,2199.0,3353.0,7175.0,0.956,0.242,-0.128,0.108
