timeMs,ax,ay,az,q0,q1,q2,q3
4392530,3032.0,3654.0,6716.0,0.9,0.277,-0.145,0.304
4392546,3292.0,3384.0,6660.0,0.899,0.275,-0.148,0.308
4392562,3582.0,3304.0,6702.0,0.897,0.275,-0.15,0.311
4392578,3832.0,3594.0,6742.0,0.896,0.275,-0.152,0.314
4392604,4082.0,4008.0,6618.0,0.895,0.275,-0.154,0.316
4392620,4094.0,4152.0,6448.0,0.894,0.275,-0.156,0.318
4392636,4270.0,3960.0,6244.0,0.893,0.275,-0.157,0.32
4392652,4252.0,4108.0,6168.0,0.893,0.274,-0.158,0.321
4392668,4474.0,3840.0,6268.0,0.893,0.273,-0.159,0.322
4392684,4394.0,3432.0,6470.0,0.893,0.272,-0.159,0.322
4392710,4206.0,3440.0,6668.0,0.893,0.272,-0.16,0.322
4392726,4126.0,3396.0,6552.0,0.892,0.272,-0.16,0.323
4392742,4050.0,3258.0,6480.0,0.892,0.273,-0.16,0.323
4392758,3936.0,3138.0,6384.0,0.892,0.274,-0.16,0.323
4392774,3978.0,3280.0,6158.0,0.892,0.274,-0.16,0.323
4392800,3974.0,3690.0,6078.0,0.892,0.274,-0.159,0.322
4392816,3824.0,3686.0,6314.0,0.892,0.273,-0.159,0.322
4392832,3728.0,3304.0,6596.0,0.893,0.272,-0.16,0.322
4392848,3748.0,2874.0,6782.0,0.893,0.269,-0.161,0.321
4392864,3808.0,2896.0,6762.0,0.894,0.268,-0.161,0.321
4392880,3936.0,3386.0,6724.0,0.894,0.266,-0.162,0.321
4392906,4026.0,3026.0,6818.0,0.895,0.265,-0.163,0.321
4392922,3974.0,2952.0,6832.0,0.895,0.263,-0.163,0.321
4392938,3938.0,2948.0,6832.0,0.896,0.262,-0.164,0.32
4392954,3998.0,2890.0,6636.0,0.896,0.261,-0.164,0.321
4392970,3888.0,2846.0,6534.0,0.896,0.26,-0.164,0.321
4392986,3894.0,2870.0,6544.0,0.896,0.259,-0.164,0.321
4393012,3888.0,2840.0,6594.0,0.896,0.259,-0.164,0.322
4393028,3874.0,2754.0,6616.0,0.896,0.259,-0.164,0.322
4393044,3850.0,2736.0,6642.0,0.895,0.259,-0.164,0.323
4393060,3894.0,2912.0,6630.0,0.895,0.26,-0.164,0.323
4393076,3886.0,2980.0,6586.0,0.895,0.26,-0.164,0.324
4393093,3910.0,2890.0,6604.0,0.895,0.261,-0.163,0.324
4393109,3878.0,2902.0,6686.0,0.894,0.261,-0.163,0.324
4393135,3916.0,2916.0,6704.0,0.894,0.261,-0.163,0.325
4393151,3840.0,2946.0,6676.0,0.894,0.262,-0.163,0.325
4393167,3900.0,2930.0,6582.0,0.894,0.262,-0.163,0.325
4393183,3888.0,3030.0,6622.0,0.894,0.263,-0.163,0.325
4393199,3762.0,3068.0,6496.0,0.894,0.263,-0.164,0.325
4393215,3812.0,3050.0,6540.0,0.893,0.263,-0.164,0.325
4393242,3836.0,3082.0,6602.0,0.893,0.263,-0.164,0.326
4393259,3834.0,3006.0,6580.0,0.893,0.263,-0.164,0.326
4393275,3850.0,3002.0,6632.0,0.893,0.264,-0.164,0.326
4393291,3840.0,3036.0,6622.0,0.893,0.264,-0.164,0.327
4393307,3892.0,3062.0,6586.0,0.892,0.265,-0.164,0.327
4393323,3928.0,3072.0,6660.0,0.892,0.265,-0.164,0.327
4393339,3840.0,3052.0,6698.0,0.892,0.266,-0.164,0.328
4393365,3888.0,3132.0,6672.0,0.891,0.266,-0.164,0.328
4393381,3772.0,3260.0,6508.0,0.891,0.267,-0.163,0.329
4393397,3742.0,3234.0,6418.0,0.891,0.267,-0.162,0.329
4393413,3608.0,3312.0,6406.0,0.891,0.268,-0.161,0.33
4393429,3316.0,3518.0,6254.0,0.891,0.268,-0.159,0.33
4393445,3546.0,3358.0,6700.0,0.891,0.268,-0.158,0.331
4393472,3576.0,3298.0,6870.0,0.891,0.267,-0.158,0.331
4393488,3576.0,3212.0,6876.0,0.891,0.267,-0.158,0.332
4393504,3734.0,3220.0,6800.0,0.891,0.267,-0.158,0.332
4393520,3910.0,3062.0,6690.0,0.891,0.267,-0.159,0.332
4393536,3952.0,2980.0,6742.0,0.891,0.266,-0.16,0.332
4393552,3934.0,2856.0,6732.0,0.891,0.266,-0.16,0.331
4393569,3914.0,2896.0,6630.0,0.891,0.265,-0.161,0.33
4393596,3800.0,3058.0,6434.0,0.892,0.265,-0.161,0.33
4393612,3580.0,3088.0,6416.0,0.892,0.265,-0.162,0.328
4393628,3486.0,3108.0,6496.0,0.892,0.266,-0.162,0.327
4393644,3464.0,3176.0,6572.0,0.892,0.266,-0.162,0.326
4393660,3484.0,3260.0,6554.0,0.892,0.267,-0.163,0.325
4393677,3604.0,3322.0,6656.0,0.892,0.269,-0.164,0.325
4393693,3740.0,3274.0,6732.0,0.892,0.269,-0.164,0.324
4393719,3842.0,3214.0,6788.0,0.892,0.27,-0.165,0.324
4393735,3860.0,3262.0,6666.0,0.891,0.27,-0.165,0.324
4393752,4048.0,3150.0,6570.0,0.891,0.27,-0.165,0.325
4393769,4000.0,3280.0,6438.0,0.891,0.269,-0.166,0.325
4393785,4106.0,3142.0,6322.0,0.892,0.267,-0.166,0.326
4393801,4082.0,3048.0,6272.0,0.892,0.265,-0.166,0.326
4393817,4042.0,3110.0,6414.0,0.893,0.263,-0.166,0.327
4393843,4046.0,2906.0,6650.0,0.893,0.26,-0.167,0.327
4393860,3964.0,2752.0,6748.0,0.893,0.257,-0.168,0.328
4393876,4022.0,2548.0,6812.0,0.894,0.255,-0.169,0.328
4393892,3988.0,2576.0,6848.0,0.894,0.253,-0.171,0.328
4393908,3986.0,2470.0,6820.0,0.894,0.251,-0.172,0.328
4393924,4026.0,2504.0,6772.0,0.894,0.25,-0.174,0.328
4393950,3972.0,2402.0,6760.0,0.895,0.249,-0.175,0.327
4393966,3996.0,2362.0,6700.0,0.895,0.249,-0.176,0.327
4393982,3914.0,2396.0,6602.0,0.894,0.249,-0.176,0.327
4393998,3856.0,2250.0,6524.0,0.894,0.249,-0.176,0.328
4394014,3878.0,2450.0,6528.0,0.893,0.251,-0.176,0.328
4394030,3908.0,2550.0,6582.0,0.893,0.252,-0.176,0.33
4394056,3886.0,2674.0,6686.0,0.892,0.253,-0.175,0.331
4394072,3866.0,2684.0,6788.0,0.891,0.255,-0.174,0.333
