timeMs,ax,ay,az,q0,q1,q2,q3
3818353,-2138.0,8980.0,257.0,0.673,0.619,0.331,0.234
3818369,-2342.0,8714.0,631.0,0.673,0.613,0.338,0.239
3818385,-2634.0,8178.0,1023.0,0.674,0.607,0.344,0.243
3818401,-2668.0,7938.0,1393.0,0.676,0.602,0.348,0.245
3818418,-2586.0,7942.0,1457.0,0.678,0.597,0.35,0.246
3818445,-2616.0,7376.0,1421.0,0.682,0.593,0.351,0.246
3818461,-2862.0,7468.0,1233.0,0.685,0.59,0.351,0.245
3818477,-2716.0,7626.0,1451.0,0.689,0.587,0.349,0.244
3818493,-2694.0,7638.0,1197.0,0.692,0.586,0.346,0.242
3818510,-2378.0,7760.0,1061.0,0.695,0.585,0.343,0.241
3818526,-1846.0,7458.0,949.0,0.698,0.583,0.34,0.24
3818543,-2234.0,8136.0,979.0,0.7,0.582,0.339,0.238
3818569,-2042.0,8024.0,1161.0,0.702,0.58,0.337,0.239
3818586,-2284.0,7330.0,1471.0,0.704,0.578,0.336,0.239
3818603,-2224.0,7364.0,1387.0,0.706,0.577,0.335,0.239
3818619,-2434.0,7042.0,1405.0,0.706,0.576,0.334,0.24
3818635,-2408.0,7330.0,1467.0,0.706,0.576,0.334,0.24
3818651,-2246.0,7584.0,1337.0,0.706,0.576,0.335,0.24
3818667,-2278.0,7454.0,1253.0,0.706,0.575,0.336,0.24
3818693,-2388.0,7932.0,1237.0,0.705,0.575,0.337,0.241
3818710,-2466.0,7786.0,1335.0,0.705,0.575,0.338,0.242
3818726,-2516.0,7416.0,1473.0,0.704,0.576,0.339,0.243
3818743,-2416.0,7410.0,1417.0,0.702,0.577,0.34,0.243
3818760,-2374.0,7562.0,1293.0,0.7,0.578,0.341,0.244
3818777,-2246.0,7550.0,1203.0,0.698,0.579,0.342,0.244
3818793,-2198.0,7810.0,1025.0,0.696,0.581,0.343,0.245
3818809,-2118.0,8178.0,689.0,0.694,0.582,0.344,0.246
3818825,-1998.0,8982.0,473.0,0.693,0.582,0.346,0.249
3818851,-2190.0,8342.0,819.0,0.692,0.581,0.346,0.252
3818868,-2278.0,7744.0,1243.0,0.692,0.58,0.346,0.255
3818885,-2160.0,7492.0,1285.0,0.691,0.58,0.346,0.258
3818902,-2050.0,7456.0,1203.0,0.69,0.58,0.347,0.259
3818918,-2042.0,7556.0,1119.0,0.689,0.581,0.347,0.261
3818934,-1952.0,7590.0,1123.0,0.688,0.581,0.346,0.262
3818951,-1934.0,7596.0,1101.0,0.688,0.582,0.346,0.262
3818967,-1944.0,7802.0,1093.0,0.687,0.583,0.345,0.263
3818993,-1976.0,8010.0,973.0,0.686,0.584,0.345,0.263
3819010,-1998.0,8012.0,919.0,0.686,0.585,0.344,0.263
3819026,-1884.0,7954.0,739.0,0.686,0.586,0.343,0.263
3819042,-1518.0,7602.0,707.0,0.686,0.586,0.343,0.263
3819059,-1880.0,7740.0,833.0,0.685,0.587,0.343,0.262
3819075,-1638.0,8220.0,615.0,0.685,0.587,0.343,0.262
3819092,-1418.0,8288.0,557.0,0.685,0.588,0.343,0.262
