timeMs,ax,ay,az,q0,q1,q2,q3
7792677,-520.0,7922.0,339.0,0.662,0.664,0.246,0.246
7792693,-98.0,7800.0,423.0,0.662,0.666,0.241,0.246
7792709,402.0,7508.0,639.0,0.661,0.669,0.236,0.245
7792735,-74.0,8592.0,511.0,0.658,0.674,0.231,0.244
7792751,-788.0,9878.0,163.0,0.656,0.677,0.225,0.244
7792767,-454.0,9854.0,187.0,0.656,0.68,0.219,0.245
7792783,-106.0,9394.0,115.0,0.656,0.681,0.212,0.246
7792799,122.0,8496.0,365.0,0.658,0.681,0.206,0.247
7792815,716.0,7726.0,335.0,0.659,0.682,0.201,0.247
7792841,696.0,6854.0,327.0,0.659,0.682,0.198,0.247
7792857,1126.0,7782.0,231.0,0.659,0.683,0.197,0.246
7792873,1012.0,7720.0,-75.0,0.658,0.684,0.197,0.246
7792889,796.0,7784.0,7.0,0.658,0.683,0.199,0.246
7792905,734.0,7860.0,167.0,0.657,0.683,0.203,0.246
7792921,494.0,8104.0,215.0,0.657,0.682,0.208,0.247
7792947,428.0,8466.0,69.0,0.656,0.68,0.213,0.248
7792963,402.0,8092.0,119.0,0.656,0.678,0.22,0.25
7792979,194.0,8460.0,-27.0,0.655,0.675,0.228,0.251
7792996,-184.0,8400.0,161.0,0.654,0.672,0.236,0.254
7793012,-358.0,8204.0,335.0,0.654,0.669,0.244,0.256
7793028,-190.0,7694.0,265.0,0.653,0.665,0.253,0.259
7793054,-202.0,8288.0,71.0,0.651,0.663,0.262,0.261
7793070,-374.0,8892.0,-1.0,0.65,0.659,0.271,0.264
7793087,-726.0,8666.0,255.0,0.65,0.655,0.278,0.268
7793104,-914.0,8492.0,477.0,0.649,0.651,0.285,0.271
7793120,-1008.0,8030.0,645.0,0.649,0.647,0.291,0.274
7793137,-990.0,8206.0,635.0,0.648,0.645,0.296,0.277
7793154,-982.0,8382.0,429.0,0.648,0.643,0.299,0.279
7793171,-936.0,8470.0,281.0,0.648,0.641,0.302,0.28
7793187,-832.0,8398.0,401.0,0.648,0.64,0.303,0.281
7793204,-790.0,8376.0,311.0,0.648,0.639,0.304,0.282
7793230,-580.0,8564.0,159.0,0.649,0.637,0.304,0.283
7793246,-764.0,8396.0,197.0,0.65,0.636,0.304,0.284
7793262,-726.0,8018.0,341.0,0.651,0.634,0.304,0.285
7793278,-832.0,8032.0,399.0,0.652,0.633,0.304,0.285
7793294,-902.0,7998.0,393.0,0.654,0.632,0.303,0.285
7793310,-834.0,8074.0,51.0,0.655,0.631,0.304,0.285
7793336,-794.0,8016.0,143.0,0.656,0.629,0.304,0.285
7793353,-882.0,8118.0,237.0,0.657,0.628,0.305,0.285
7793369,-1098.0,8292.0,249.0,0.658,0.626,0.305,0.286
7793386,-1012.0,8266.0,67.0,0.659,0.624,0.305,0.287
7793402,-1118.0,7966.0,259.0,0.66,0.623,0.305,0.288
7793418,-1068.0,7816.0,357.0,0.661,0.622,0.306,0.289
7793434,-1100.0,8008.0,447.0,0.661,0.621,0.306,0.29
7793460,-1136.0,8002.0,563.0,0.661,0.62,0.307,0.29
7793476,-1240.0,8118.0,463.0,0.661,0.62,0.307,0.291
7793493,-1134.0,8196.0,511.0,0.661,0.619,0.307,0.291
7793510,-1254.0,8234.0,555.0,0.661,0.618,0.308,0.292
7793526,-1188.0,8018.0,505.0,0.662,0.618,0.308,0.293
7793542,-1056.0,7958.0,567.0,0.662,0.617,0.308,0.293
7793559,-1228.0,8250.0,635.0,0.662,0.617,0.308,0.293
7793576,-1408.0,8408.0,657.0,0.663,0.617,0.308,0.293
7793602,-1256.0,8220.0,695.0,0.663,0.616,0.307,0.294
7793618,-1270.0,8256.0,745.0,0.664,0.616,0.305,0.293
7793635,-1352.0,8224.0,817.0,0.665,0.616,0.304,0.293
7793651,-1410.0,8282.0,877.0,0.667,0.616,0.301,0.292
7793667,-1210.0,8272.0,1027.0,0.669,0.616,0.298,0.29
7793683,-872.0,7788.0,965.0,0.67,0.616,0.295,0.289
7793699,-818.0,7066.0,861.0,0.672,0.617,0.293,0.286
7793726,-624.0,8540.0,561.0,0.672,0.619,0.291,0.284
7793742,-634.0,8608.0,535.0,0.673,0.619,0.29,0.283
7793759,-670.0,7878.0,873.0,0.674,0.619,0.288,0.281
7793775,-520.0,7960.0,901.0,0.675,0.62,0.287,0.28
7793792,-586.0,7644.0,783.0,0.675,0.62,0.287,0.279
7793808,-598.0,7936.0,779.0,0.674,0.62,0.288,0.278
7793824,-716.0,8204.0,821.0,0.674,0.621,0.289,0.277
7793850,-784.0,8260.0,805.0,0.673,0.621,0.29,0.276
7793866,-806.0,8152.0,769.0,0.673,0.622,0.291,0.276
7793882,-790.0,8314.0,729.0,0.672,0.622,0.293,0.276
7793898,-708.0,8214.0,779.0,0.671,0.622,0.294,0.277
7793914,-836.0,8182.0,769.0,0.671,0.622,0.295,0.277
7793930,-844.0,8184.0,763.0,0.67,0.621,0.296,0.278
7793956,-858.0,8158.0,667.0,0.669,0.621,0.298,0.278
7793972,-840.0,8196.0,687.0,0.668,0.621,0.299,0.279
7793988,-966.0,8220.0,719.0,0.668,0.621,0.3,0.28
7794005,-856.0,8092.0,649.0,0.667,0.621,0.301,0.28
7794021,-886.0,8186.0,627.0,0.666,0.621,0.302,0.281
7794037,-752.0,8092.0,603.0,0.665,0.622,0.303,0.281
7794053,-648.0,8230.0,459.0,0.665,0.622,0.304,0.282
7794080,-868.0,8274.0,481.0,0.664,0.622,0.305,0.282
7794097,-794.0,8122.0,413.0,0.663,0.622,0.306,0.282
7794113,-782.0,8088.0,443.0,0.663,0.622,0.307,0.283
7794129,-797.0,8114.0,415.0,0.662,0.622,0.308,0.282
7794146,-1012.0,8132.0,372.0,0.662,0.622,0.309,0.282
7794162,-1000.0,8150.0,302.0,0.66,0.623,0.309,0.282
7794178,-1090.0,8396.0,342.0,0.659,0.624,0.309,0.283
7794204,-1252.0,8828.0,432.0,0.658,0.626,0.308,0.283
7794220,-1322.0,8556.0,646.0,0.657,0.628,0.306,0.284
7794236,-1072.0,8608.0,780.0,0.657,0.63,0.303,0.284
7794252,-1004.0,8026.0,642.0,0.656,0.632,0.299,0.283
7794268,-770.0,8050.0,508.0,0.656,0.635,0.295,0.282
7794285,-722.0,7964.0,504.0,0.656,0.637,0.29,0.281
7794301,-642.0,8120.0,474.0,0.657,0.639,0.287,0.279
7794327,-554.0,8190.0,362.0,0.658,0.641,0.283,0.277
7794344,-456.0,7988.0,212.0,0.659,0.641,0.281,0.276
7794360,-10.0,7868.0,48.0,0.659,0.641,0.281,0.275
7794376,10.0,8352.0,-296.0,0.659,0.641,0.282,0.274
7794393,-90.0,8508.0,-138.0,0.66,0.639,0.284,0.275
7794409,-166.0,8166.0,32.0,0.66,0.637,0.286,0.276
7794425,-220.0,8026.0,86.0,0.66,0.635,0.29,0.278
7794451,-422.0,8066.0,144.0,0.66,0.632,0.295,0.28
7794467,-582.0,8120.0,276.0,0.659,0.629,0.3,0.282
7794483,-766.0,8094.0,532.0,0.659,0.626,0.305,0.284
7794499,-1070.0,8098.0,646.0,0.658,0.624,0.31,0.286
