timeMs,ax,ay,az,q0,q1,q2,q3
6245410,4273.0,4428.0,5475.0,0.89,0.35,-0.223,0.19
6245426,4247.0,4514.0,5461.0,0.889,0.351,-0.223,0.19
6245442,4197.0,4538.0,5407.0,0.889,0.352,-0.222,0.19
6245458,4183.0,4556.0,5347.0,0.889,0.352,-0.222,0.19
6245474,4219.0,4580.0,5347.0,0.889,0.353,-0.222,0.19
6245490,4189.0,4624.0,5317.0,0.889,0.353,-0.222,0.19
6245516,4231.0,4620.0,5299.0,0.888,0.354,-0.223,0.19
6245532,4283.0,4686.0,5239.0,0.888,0.353,-0.223,0.19
6245548,4261.0,4632.0,5227.0,0.888,0.353,-0.223,0.19
6245564,4309.0,4696.0,5253.0,0.889,0.353,-0.224,0.189
6245580,4275.0,4524.0,5333.0,0.889,0.352,-0.224,0.189
6245596,4325.0,4402.0,5331.0,0.889,0.351,-0.225,0.189
6245622,4335.0,4398.0,5333.0,0.889,0.351,-0.225,0.189
6245638,4313.0,4390.0,5353.0,0.889,0.35,-0.225,0.189
6245655,4377.0,4298.0,5403.0,0.889,0.35,-0.225,0.189
6245671,4377.0,4366.0,5375.0,0.889,0.35,-0.225,0.189
6245688,4417.0,4350.0,5431.0,0.889,0.35,-0.225,0.189
6245704,4375.0,4318.0,5391.0,0.889,0.35,-0.225,0.19
6245720,4355.0,4304.0,5355.0,0.889,0.35,-0.225,0.19
6245737,4391.0,4376.0,5345.0,0.889,0.35,-0.225,0.19
6245764,4323.0,4466.0,5373.0,0.889,0.351,-0.225,0.19
6245780,4325.0,4488.0,5349.0,0.889,0.351,-0.225,0.19
6245797,4301.0,4586.0,5371.0,0.889,0.351,-0.225,0.19
6245813,4281.0,4534.0,5339.0,0.889,0.351,-0.225,0.19
6245830,4265.0,4536.0,5359.0,0.889,0.351,-0.224,0.19
6245846,4215.0,4488.0,5357.0,0.889,0.351,-0.224,0.19
6245863,4235.0,4484.0,5425.0,0.889,0.351,-0.224,0.19
6245879,4197.0,4476.0,5363.0,0.889,0.351,-0.224,0.19
6245905,4237.0,4514.0,5361.0,0.889,0.351,-0.224,0.19
6245922,4293.0,4514.0,5381.0,0.889,0.351,-0.224,0.19
6245938,4283.0,4552.0,5381.0,0.889,0.351,-0.224,0.19
6245954,4219.0,4586.0,5449.0,0.889,0.351,-0.225,0.19
6245970,4143.0,4546.0,5515.0,0.889,0.35,-0.225,0.19
6245986,4101.0,4472.0,5575.0,0.889,0.35,-0.227,0.189
6246003,4111.0,4280.0,5497.0,0.889,0.35,-0.228,0.189
6246029,4285.0,4304.0,5295.0,0.888,0.351,-0.23,0.188
6246046,4429.0,4252.0,5337.0,0.888,0.351,-0.232,0.188
6246063,4475.0,4236.0,5287.0,0.887,0.351,-0.234,0.187
6246079,4493.0,4340.0,5247.0,0.887,0.352,-0.235,0.187
6246095,4483.0,4440.0,5199.0,0.886,0.352,-0.235,0.186
6246111,4581.0,4626.0,5081.0,0.886,0.353,-0.236,0.186
6246127,4761.0,4590.0,5083.0,0.886,0.353,-0.236,0.186
6246144,4687.0,4606.0,5049.0,0.886,0.352,-0.237,0.186
6246170,4499.0,4468.0,5251.0,0.886,0.352,-0.237,0.186
6246186,4565.0,4440.0,5213.0,0.887,0.352,-0.237,0.186
6246203,4557.0,4366.0,5201.0,0.887,0.351,-0.237,0.186
6246219,4463.0,4318.0,5171.0,0.887,0.351,-0.236,0.186
6246235,4487.0,4286.0,5185.0,0.887,0.351,-0.236,0.186
6246251,4451.0,4400.0,5283.0,0.887,0.351,-0.236,0.186
6246277,4553.0,4424.0,5353.0,0.887,0.352,-0.236,0.186
6246294,4509.0,4488.0,5315.0,0.887,0.352,-0.235,0.187
6246311,4517.0,4440.0,5295.0,0.887,0.352,-0.235,0.187
6246328,4527.0,4438.0,5295.0,0.887,0.352,-0.235,0.187
6246344,4531.0,4396.0,5277.0,0.887,0.352,-0.235,0.187
6246361,4445.0,4388.0,5215.0,0.887,0.352,-0.235,0.187
6246377,4419.0,4412.0,5185.0,0.887,0.352,-0.234,0.187
6246393,4453.0,4420.0,5221.0,0.887,0.352,-0.234,0.188
6246419,4405.0,4386.0,5267.0,0.887,0.352,-0.234,0.188
6246435,4389.0,4448.0,5325.0,0.887,0.352,-0.233,0.188
6246451,4359.0,4472.0,5345.0,0.887,0.352,-0.233,0.188
6246467,4357.0,4468.0,5329.0,0.887,0.352,-0.233,0.188
6246483,4429.0,4526.0,5335.0,0.887,0.353,-0.233,0.188
6246499,4339.0,4576.0,5327.0,0.886,0.353,-0.233,0.188
6246525,4369.0,4512.0,5305.0,0.886,0.353,-0.233,0.188
6246541,4413.0,4432.0,5263.0,0.886,0.353,-0.233,0.188
6246557,4441.0,4486.0,5213.0,0.886,0.353,-0.233,0.188
6246574,4393.0,4532.0,5223.0,0.886,0.353,-0.233,0.188
6246590,4409.0,4446.0,5255.0,0.886,0.353,-0.234,0.188
6246606,4417.0,4420.0,5335.0,0.886,0.353,-0.234,0.188
6246622,4425.0,4414.0,5291.0,0.886,0.353,-0.234,0.188
6246648,4427.0,4374.0,5221.0,0.886,0.353,-0.234,0.188
6246664,4509.0,4412.0,5185.0,0.886,0.353,-0.235,0.188
6246681,4477.0,4486.0,5265.0,0.886,0.353,-0.234,0.188
6246697,4481.0,4538.0,5265.0,0.886,0.353,-0.234,0.188
6246713,4435.0,4456.0,5267.0,0.886,0.353,-0.234,0.188
6246730,4479.0,4376.0,5243.0,0.886,0.353,-0.234,0.188
6246747,4461.0,4352.0,5199.0,0.886,0.353,-0.234,0.188
