timeMs,ax,ay,az,q0,q1,q2,q3
3653561,2114.0,3027.0,7298.0,0.834,0.244,-0.044,0.493
3653577,2126.0,3047.0,7322.0,0.834,0.244,-0.043,0.493
3653593,2122.0,3019.0,7348.0,0.834,0.244,-0.043,0.493
3653609,2118.0,2983.0,7310.0,0.834,0.244,-0.043,0.493
3653625,2052.0,3009.0,7306.0,0.834,0.244,-0.043,0.493
3653651,2106.0,3027.0,7314.0,0.834,0.244,-0.043,0.493
3653667,2064.0,3039.0,7364.0,0.834,0.244,-0.043,0.494
3653683,2046.0,3007.0,7308.0,0.834,0.244,-0.043,0.494
3653699,2118.0,2983.0,7360.0,0.834,0.243,-0.043,0.494
3653715,2114.0,2985.0,7386.0,0.834,0.243,-0.043,0.494
3653731,2168.0,2973.0,7332.0,0.834,0.243,-0.042,0.494
3653757,2110.0,2997.0,7328.0,0.834,0.243,-0.042,0.494
3653773,2140.0,2945.0,7344.0,0.834,0.243,-0.042,0.494
3653789,2102.0,2969.0,7366.0,0.834,0.243,-0.042,0.494
3653805,2130.0,2983.0,7374.0,0.834,0.243,-0.042,0.494
3653821,2072.0,3003.0,7344.0,0.834,0.243,-0.042,0.494
3653837,2124.0,3029.0,7328.0,0.834,0.243,-0.042,0.494
3653864,2118.0,2997.0,7318.0,0.834,0.243,-0.041,0.494
3653880,2132.0,3017.0,7308.0,0.833,0.244,-0.041,0.494
3653896,2136.0,2987.0,7340.0,0.833,0.244,-0.041,0.494
3653913,2104.0,3011.0,7314.0,0.833,0.244,-0.041,0.495
3653930,2040.0,3045.0,7334.0,0.833,0.244,-0.04,0.495
3653946,2056.0,3059.0,7340.0,0.833,0.244,-0.04,0.495
3653962,2072.0,3039.0,7310.0,0.833,0.244,-0.04,0.495
3653988,2084.0,3041.0,7280.0,0.833,0.244,-0.04,0.495
3654004,2098.0,3063.0,7336.0,0.833,0.244,-0.04,0.495
3654020,2108.0,3081.0,7310.0,0.833,0.244,-0.039,0.496
3654036,2074.0,3079.0,7348.0,0.833,0.244,-0.039,0.496
3654052,2072.0,3025.0,7336.0,0.833,0.244,-0.039,0.496
3654068,2086.0,3051.0,7320.0,0.833,0.244,-0.039,0.496
3654094,2014.0,3095.0,7336.0,0.833,0.243,-0.04,0.496
3654110,2156.0,3075.0,7356.0,0.833,0.243,-0.04,0.496
3654127,2156.0,2995.0,7300.0,0.833,0.243,-0.04,0.496
3654143,2132.0,3073.0,7348.0,0.833,0.243,-0.04,0.496
3654160,2106.0,3037.0,7322.0,0.833,0.243,-0.041,0.496
3654176,2156.0,3013.0,7312.0,0.833,0.243,-0.041,0.496
3654193,2140.0,3029.0,7304.0,0.833,0.243,-0.041,0.496
3654209,2150.0,2999.0,7336.0,0.833,0.243,-0.041,0.496
3654235,2148.0,2977.0,7328.0,0.833,0.243,-0.041,0.496
3654251,2160.0,2985.0,7300.0,0.833,0.242,-0.041,0.496
3654267,2174.0,2971.0,7354.0,0.833,0.242,-0.041,0.496
3654283,2112.0,3001.0,7354.0,0.833,0.242,-0.041,0.496
3654299,2102.0,3013.0,7352.0,0.833,0.242,-0.04,0.496
3654315,2134.0,2999.0,7330.0,0.833,0.242,-0.04,0.497
3654341,2170.0,2977.0,7352.0,0.833,0.242,-0.04,0.497
3654357,2162.0,2993.0,7360.0,0.833,0.242,-0.04,0.497
3654374,2162.0,2973.0,7354.0,0.833,0.242,-0.04,0.497
3654390,2146.0,2953.0,7338.0,0.832,0.242,-0.04,0.497
3654406,2102.0,2959.0,7348.0,0.832,0.241,-0.04,0.497
3654423,2092.0,2987.0,7378.0,0.832,0.241,-0.04,0.497
3654439,2140.0,2961.0,7328.0,0.832,0.241,-0.04,0.497
3654465,2136.0,3019.0,7326.0,0.832,0.241,-0.04,0.497
3654481,2136.0,2985.0,7352.0,0.832,0.241,-0.04,0.497
3654497,2128.0,2929.0,7370.0,0.832,0.241,-0.04,0.497
3654514,2118.0,2957.0,7364.0,0.833,0.241,-0.04,0.497
3654530,2214.0,2985.0,7324.0,0.833,0.241,-0.04,0.497
3654546,2220.0,2997.0,7320.0,0.833,0.241,-0.04,0.497
3654572,2154.0,2971.0,7334.0,0.833,0.24,-0.041,0.497
3654588,2176.0,2969.0,7366.0,0.833,0.24,-0.041,0.497
3654604,2190.0,2931.0,7314.0,0.833,0.24,-0.041,0.497
3654620,2150.0,2971.0,7340.0,0.833,0.24,-0.041,0.497
3654636,2144.0,3031.0,7348.0,0.833,0.24,-0.041,0.497
3654652,2162.0,2979.0,7306.0,0.833,0.24,-0.04,0.497
3654678,2136.0,2997.0,7272.0,0.833,0.24,-0.04,0.497
3654695,2136.0,2929.0,7344.0,0.833,0.24,-0.04,0.497
3654711,2152.0,2929.0,7316.0,0.833,0.24,-0.04,0.497
3654727,2158.0,3017.0,7336.0,0.833,0.24,-0.04,0.497
3654743,2194.0,2951.0,7332.0,0.833,0.24,-0.04,0.497
3654759,2110.0,3013.0,7322.0,0.833,0.24,-0.04,0.497
3654776,2130.0,2993.0,7388.0,0.833,0.24,-0.04,0.498
3654802,2170.0,2989.0,7316.0,0.833,0.24,-0.04,0.498
3654818,2186.0,2933.0,7292.0,0.833,0.24,-0.04,0.498
3654834,2156.0,2961.0,7294.0,0.833,0.24,-0.04,0.498
