timeMs,ax,ay,az,q0,q1,q2,q3
5072968,3710.0,6955.0,1111.0,0.726,0.637,-0.165,0.202
5072994,3682.0,6953.0,1153.0,0.726,0.637,-0.164,0.202
5073010,3726.0,7103.0,1161.0,0.726,0.637,-0.164,0.202
5073026,3646.0,7169.0,1171.0,0.726,0.637,-0.164,0.202
5073042,3628.0,7059.0,1185.0,0.726,0.637,-0.164,0.202
5073058,3554.0,6997.0,1139.0,0.726,0.637,-0.164,0.202
5073074,3476.0,7043.0,1163.0,0.725,0.637,-0.164,0.202
5073100,3424.0,7057.0,1177.0,0.725,0.637,-0.164,0.202
5073117,3560.0,7057.0,1167.0,0.725,0.637,-0.165,0.203
5073133,3698.0,7127.0,1109.0,0.724,0.637,-0.166,0.203
5073149,3838.0,7155.0,1165.0,0.724,0.637,-0.167,0.204
5073165,4082.0,7097.0,1231.0,0.724,0.637,-0.168,0.204
5073181,4316.0,6967.0,1287.0,0.724,0.637,-0.169,0.205
5073198,4474.0,6677.0,1235.0,0.723,0.637,-0.169,0.205
5073215,4640.0,6819.0,1127.0,0.722,0.638,-0.17,0.206
5073241,4616.0,6907.0,961.0,0.721,0.64,-0.17,0.207
5073257,4376.0,7135.0,819.0,0.719,0.641,-0.169,0.207
5073273,4388.0,7387.0,833.0,0.718,0.642,-0.169,0.208
5073290,4172.0,7227.0,837.0,0.717,0.643,-0.169,0.209
5073307,4026.0,7137.0,921.0,0.717,0.643,-0.168,0.21
5073324,3948.0,7147.0,1009.0,0.717,0.643,-0.168,0.211
5073340,3994.0,7073.0,1035.0,0.717,0.643,-0.168,0.212
5073356,4066.0,7023.0,1019.0,0.716,0.643,-0.167,0.213
5073383,4174.0,7057.0,923.0,0.716,0.644,-0.167,0.214
5073399,4204.0,7103.0,795.0,0.715,0.644,-0.166,0.215
5073416,4212.0,7371.0,645.0,0.715,0.644,-0.166,0.215
5073433,3924.0,7381.0,761.0,0.716,0.643,-0.165,0.215
5073450,3854.0,7099.0,969.0,0.717,0.642,-0.164,0.215
5073467,3842.0,6813.0,1057.0,0.718,0.641,-0.164,0.215
5073483,3736.0,6819.0,1197.0,0.719,0.64,-0.164,0.215
5073499,3674.0,6875.0,1259.0,0.719,0.64,-0.164,0.215
5073516,3812.0,6873.0,1215.0,0.719,0.64,-0.164,0.216
5073542,3862.0,6889.0,1117.0,0.719,0.64,-0.164,0.216
5073559,3998.0,6859.0,1119.0,0.719,0.64,-0.163,0.216
5073575,4038.0,6945.0,1117.0,0.718,0.641,-0.163,0.216
5073591,4002.0,7051.0,1007.0,0.717,0.642,-0.163,0.216
5073607,3982.0,7161.0,807.0,0.717,0.643,-0.163,0.216
5073623,3910.0,7257.0,831.0,0.716,0.644,-0.162,0.215
5073640,3876.0,7223.0,853.0,0.716,0.644,-0.162,0.214
5073666,3844.0,7147.0,907.0,0.716,0.644,-0.162,0.214
5073682,3886.0,7081.0,957.0,0.716,0.644,-0.162,0.214
5073699,3904.0,6973.0,1021.0,0.716,0.644,-0.162,0.214
5073716,3996.0,6963.0,1101.0,0.716,0.644,-0.162,0.214
5073732,4054.0,6995.0,1055.0,0.716,0.644,-0.162,0.214
5073748,4052.0,7085.0,971.0,0.716,0.644,-0.163,0.215
