timeMs,ax,ay,az,q0,q1,q2,q3
3071471,3261.0,2275.0,7139.0,0.925,0.209,-0.233,0.213
3071487,3299.0,2165.0,7099.0,0.925,0.211,-0.232,0.215
3071503,3365.0,2259.0,6975.0,0.924,0.213,-0.231,0.218
3071529,3229.0,2339.0,6985.0,0.923,0.216,-0.231,0.22
3071546,3379.0,2351.0,6893.0,0.922,0.219,-0.23,0.222
3071562,3405.0,2427.0,6873.0,0.921,0.222,-0.23,0.223
3071578,3471.0,2377.0,6745.0,0.92,0.226,-0.229,0.225
3071595,3517.0,2673.0,6717.0,0.918,0.23,-0.229,0.226
3071612,3569.0,2575.0,6777.0,0.917,0.234,-0.228,0.227
3071629,3579.0,2547.0,6673.0,0.916,0.239,-0.227,0.228
3071646,3701.0,2761.0,6515.0,0.915,0.243,-0.226,0.229
3071662,3699.0,2941.0,6467.0,0.914,0.248,-0.225,0.23
3071688,3621.0,3355.0,6433.0,0.913,0.252,-0.224,0.232
3071704,3697.0,3143.0,6455.0,0.912,0.254,-0.223,0.233
3071720,3635.0,3117.0,6475.0,0.911,0.257,-0.222,0.234
3071736,3761.0,3237.0,6477.0,0.91,0.259,-0.221,0.235
3071752,3737.0,3193.0,6487.0,0.91,0.262,-0.221,0.236
3071768,3795.0,3193.0,6381.0,0.909,0.263,-0.22,0.237
3071794,3819.0,3231.0,6407.0,0.909,0.265,-0.22,0.237
3071810,3831.0,3203.0,6403.0,0.908,0.266,-0.219,0.238
3071826,3793.0,3323.0,6373.0,0.908,0.267,-0.218,0.238
3071842,3803.0,3177.0,6401.0,0.908,0.267,-0.218,0.238
3071858,3735.0,3131.0,6319.0,0.908,0.268,-0.217,0.238
3071875,3703.0,3173.0,6447.0,0.908,0.268,-0.216,0.238
3071901,3653.0,3053.0,6509.0,0.908,0.268,-0.216,0.239
3071917,3685.0,2951.0,6473.0,0.909,0.268,-0.215,0.238
3071933,3627.0,3027.0,6523.0,0.909,0.268,-0.214,0.238
3071949,3537.0,3035.0,6501.0,0.909,0.268,-0.213,0.238
3071965,3517.0,3043.0,6541.0,0.909,0.268,-0.212,0.239
3071981,3455.0,3029.0,6575.0,0.909,0.269,-0.211,0.239
3072007,3459.0,3083.0,6493.0,0.909,0.269,-0.21,0.239
3072024,3421.0,3069.0,6517.0,0.909,0.27,-0.209,0.239
3072040,3445.0,3127.0,6531.0,0.909,0.27,-0.208,0.239
