timeMs,ax,ay,az,q0,q1,q2,q3
6466552,2139.0,6354.0,4647.0,0.881,0.452,-0.096,0.1
6466568,2109.0,6374.0,4579.0,0.881,0.452,-0.096,0.1
6466594,2123.0,6438.0,4641.0,0.881,0.452,-0.096,0.1
6466611,2125.0,6502.0,4631.0,0.881,0.452,-0.096,0.101
6466627,2021.0,6478.0,4563.0,0.881,0.452,-0.096,0.101
6466643,2057.0,6520.0,4527.0,0.881,0.452,-0.096,0.101
6466659,2049.0,6470.0,4549.0,0.881,0.452,-0.096,0.101
6466676,2011.0,6436.0,4589.0,0.881,0.452,-0.096,0.101
6466693,2053.0,6414.0,4609.0,0.881,0.452,-0.096,0.101
6466710,2039.0,6426.0,4519.0,0.881,0.452,-0.097,0.1
6466736,2061.0,6458.0,4531.0,0.881,0.452,-0.097,0.1
6466752,2123.0,6468.0,4591.0,0.881,0.452,-0.097,0.1
6466769,2257.0,6424.0,4717.0,0.881,0.452,-0.098,0.1
6466785,2281.0,6426.0,4733.0,0.881,0.452,-0.098,0.099
6466801,2261.0,6380.0,4801.0,0.881,0.452,-0.098,0.099
6466817,2245.0,6452.0,4825.0,0.881,0.452,-0.098,0.099
6466834,2187.0,6370.0,4831.0,0.881,0.451,-0.098,0.099
6466851,2207.0,6320.0,4783.0,0.882,0.451,-0.098,0.099
6466877,2207.0,6338.0,4743.0,0.882,0.451,-0.097,0.099
6466894,2101.0,6342.0,4673.0,0.882,0.451,-0.097,0.099
6466911,2003.0,6360.0,4589.0,0.882,0.451,-0.096,0.099
6466928,1947.0,6506.0,4481.0,0.881,0.452,-0.096,0.099
6466944,2013.0,6628.0,4415.0,0.881,0.453,-0.096,0.099
6466961,1919.0,6554.0,4425.0,0.881,0.453,-0.095,0.098
6466977,2001.0,6666.0,4375.0,0.881,0.454,-0.095,0.098
6466993,1941.0,6604.0,4355.0,0.881,0.454,-0.095,0.097
6467013,1947.0,6520.0,4393.0,0.88,0.455,-0.096,0.096
6467030,2051.0,6496.0,4461.0,0.88,0.455,-0.096,0.095
6467046,2175.0,6550.0,4579.0,0.88,0.455,-0.096,0.094
6467063,2279.0,6488.0,4679.0,0.88,0.455,-0.097,0.093
6467090,2325.0,6454.0,4847.0,0.88,0.455,-0.098,0.092
6467106,2245.0,6354.0,4941.0,0.881,0.454,-0.098,0.092
6467122,2219.0,6342.0,4941.0,0.881,0.454,-0.097,0.091
6467138,2257.0,6244.0,4967.0,0.881,0.453,-0.097,0.092
6467155,2163.0,6266.0,4941.0,0.882,0.452,-0.097,0.092
6467171,2181.0,6272.0,4865.0,0.882,0.452,-0.096,0.093
6467188,2131.0,6298.0,4767.0,0.882,0.451,-0.095,0.094
6467214,2017.0,6270.0,4687.0,0.882,0.451,-0.094,0.095
6467231,1925.0,6414.0,4591.0,0.882,0.451,-0.093,0.096
6467248,1903.0,6524.0,4557.0,0.882,0.451,-0.092,0.096
