timeMs,ax,ay,az,q0,q1,q2,q3
3411173,-970.0,8372.0,639.0,0.656,0.65,0.282,0.259
3411189,-1156.0,8436.0,465.0,0.653,0.653,0.282,0.26
3411215,-1466.0,8368.0,533.0,0.652,0.655,0.28,0.26
3411231,-1390.0,8238.0,655.0,0.65,0.658,0.277,0.26
3411247,-1384.0,8268.0,865.0,0.649,0.661,0.272,0.261
3411263,-1110.0,8744.0,773.0,0.649,0.663,0.266,0.261
3411279,-672.0,9138.0,223.0,0.649,0.666,0.259,0.261
3411295,-84.0,9122.0,-321.0,0.65,0.667,0.252,0.263
3411321,-102.0,8530.0,-41.0,0.652,0.666,0.245,0.265
3411337,-572.0,7532.0,137.0,0.654,0.666,0.239,0.267
3411353,-338.0,7220.0,267.0,0.655,0.666,0.235,0.269
3411369,-28.0,6876.0,329.0,0.656,0.666,0.231,0.27
3411385,122.0,7216.0,243.0,0.656,0.667,0.23,0.27
3411401,256.0,7436.0,81.0,0.655,0.667,0.231,0.27
3411427,222.0,7254.0,-175.0,0.653,0.668,0.234,0.27
3411443,220.0,7302.0,-211.0,0.651,0.669,0.238,0.27
3411459,226.0,7694.0,-75.0,0.648,0.669,0.245,0.269
3411476,244.0,8126.0,87.0,0.645,0.67,0.253,0.269
3411492,42.0,8316.0,-15.0,0.642,0.669,0.262,0.268
3411508,-68.0,8028.0,35.0,0.639,0.668,0.271,0.268
3411524,-336.0,7872.0,45.0,0.636,0.666,0.282,0.268
3411551,-508.0,8096.0,-149.0,0.633,0.665,0.293,0.268
3411568,-674.0,8330.0,-51.0,0.629,0.663,0.303,0.269
3411585,-868.0,8290.0,-65.0,0.626,0.662,0.314,0.269
3411602,-1204.0,8108.0,187.0,0.622,0.661,0.323,0.269
3411619,-1172.0,8012.0,133.0,0.618,0.66,0.332,0.269
3411636,-1366.0,8014.0,-75.0,0.613,0.66,0.341,0.268
3411653,-1462.0,8068.0,-413.0,0.609,0.661,0.348,0.268
3411670,-1758.0,8308.0,-279.0,0.604,0.662,0.355,0.267
3411686,-1426.0,8564.0,-839.0,0.6,0.663,0.359,0.267
3411703,-1730.0,9332.0,-621.0,0.596,0.665,0.362,0.267
3411720,-1830.0,8232.0,-841.0,0.594,0.666,0.363,0.268
3411746,-1676.0,9264.0,-689.0,0.591,0.669,0.363,0.269
3411763,-1612.0,8420.0,-263.0,0.588,0.671,0.361,0.27
3411779,-1126.0,8790.0,-765.0,0.587,0.674,0.358,0.271
3411795,-1142.0,9266.0,-1061.0,0.586,0.676,0.353,0.273
3411811,-1010.0,9522.0,-865.0,0.588,0.677,0.346,0.275
3411828,-1108.0,8414.0,-971.0,0.592,0.677,0.338,0.278
3411845,-1058.0,6914.0,-1033.0,0.597,0.676,0.329,0.28
3411862,-856.0,6760.0,-1045.0,0.602,0.676,0.321,0.279
3411879,-576.0,7664.0,-1247.0,0.606,0.677,0.314,0.277
3411906,-414.0,7966.0,-1427.0,0.611,0.677,0.307,0.274
3411922,-434.0,8554.0,-1503.0,0.615,0.676,0.3,0.271
