timeMs,ax,ay,az,q0,q1,q2,q3
3785516,-2410.0,7598.0,1231.0,0.677,0.534,0.424,0.277
3785532,-2346.0,8058.0,951.0,0.676,0.535,0.425,0.277
3785558,-1982.0,8006.0,809.0,0.675,0.535,0.425,0.278
3785574,-1902.0,7792.0,825.0,0.674,0.536,0.425,0.278
3785590,-2038.0,7672.0,923.0,0.674,0.536,0.426,0.279
3785606,-2040.0,7550.0,887.0,0.673,0.536,0.427,0.279
3785623,-2166.0,7650.0,855.0,0.672,0.536,0.428,0.279
3785639,-2324.0,7736.0,727.0,0.671,0.536,0.43,0.279
3785655,-2434.0,7746.0,641.0,0.67,0.536,0.431,0.28
3785681,-2550.0,7736.0,609.0,0.669,0.536,0.433,0.279
3785698,-2554.0,7644.0,567.0,0.668,0.537,0.434,0.279
3785714,-2572.0,7640.0,495.0,0.666,0.537,0.436,0.279
3785730,-2624.0,7542.0,443.0,0.665,0.538,0.437,0.278
3785746,-2652.0,7550.0,371.0,0.663,0.539,0.439,0.277
3785763,-2692.0,7654.0,313.0,0.661,0.54,0.441,0.277
3785780,-2734.0,7762.0,169.0,0.66,0.541,0.442,0.276
3785797,-2672.0,7826.0,79.0,0.658,0.542,0.444,0.275
3785823,-2658.0,7784.0,67.0,0.656,0.543,0.446,0.275
3785839,-2688.0,7738.0,93.0,0.655,0.544,0.447,0.275
3785856,-2664.0,7770.0,109.0,0.653,0.545,0.449,0.274
3785872,-2664.0,8076.0,-123.0,0.652,0.545,0.45,0.275
3785889,-2620.0,8068.0,-153.0,0.651,0.545,0.452,0.275
3785906,-2670.0,7998.0,-23.0,0.65,0.545,0.452,0.277
3785923,-2614.0,7762.0,173.0,0.649,0.545,0.453,0.278
3785940,-2584.0,7654.0,129.0,0.648,0.545,0.454,0.279
3785956,-2648.0,7664.0,125.0,0.647,0.545,0.454,0.28
3785982,-2524.0,7674.0,121.0,0.646,0.546,0.454,0.28
3785998,-2488.0,7882.0,-113.0,0.645,0.547,0.454,0.281
3786015,-2424.0,7956.0,-185.0,0.645,0.547,0.454,0.281
3786031,-2366.0,8076.0,-339.0,0.644,0.547,0.454,0.282
3786048,-2462.0,8188.0,-189.0,0.645,0.547,0.453,0.283
3786064,-2414.0,7780.0,11.0,0.645,0.547,0.452,0.284
3786080,-2372.0,7598.0,-7.0,0.646,0.546,0.451,0.285
3786097,-2324.0,7630.0,-111.0,0.646,0.546,0.45,0.285
3786124,-2246.0,7862.0,-187.0,0.647,0.546,0.45,0.285
3786141,-2314.0,7838.0,-119.0,0.648,0.546,0.449,0.285
3786157,-2342.0,7778.0,-19.0,0.649,0.546,0.448,0.284
3786174,-2248.0,7718.0,93.0,0.649,0.546,0.447,0.284
3786191,-2256.0,7516.0,311.0,0.65,0.546,0.447,0.283
3786207,-2428.0,7558.0,425.0,0.651,0.546,0.446,0.282
3786223,-2622.0,7658.0,393.0,0.651,0.546,0.446,0.28
3786240,-2386.0,7406.0,285.0,0.651,0.547,0.446,0.279
3786266,-2510.0,7780.0,67.0,0.65,0.548,0.447,0.278
3786283,-2424.0,7844.0,-57.0,0.649,0.549,0.447,0.277
3786299,-2344.0,7760.0,-195.0,0.648,0.55,0.449,0.276
3786315,-2346.0,8130.0,-437.0,0.647,0.55,0.45,0.276
3786331,-2426.0,7988.0,-187.0,0.647,0.55,0.451,0.276
3786348,-2486.0,7502.0,219.0,0.646,0.55,0.452,0.276
3786365,-2582.0,7410.0,359.0,0.645,0.55,0.453,0.276
3786382,-2610.0,7592.0,275.0,0.643,0.551,0.455,0.276
3786398,-2520.0,8044.0,-57.0,0.642,0.552,0.455,0.275
3786425,-2332.0,8040.0,-127.0,0.641,0.553,0.456,0.275
3786441,-2432.0,7900.0,27.0,0.64,0.553,0.456,0.275
3786457,-2352.0,7764.0,27.0,0.64,0.554,0.457,0.275
3786473,-2374.0,7818.0,67.0,0.639,0.555,0.457,0.275
3786489,-2308.0,8014.0,-113.0,0.638,0.555,0.457,0.275
3786505,-2280.0,7876.0,-151.0,0.638,0.556,0.456,0.275
3786531,-2360.0,8054.0,-177.0,0.638,0.555,0.456,0.276
