timeMs,ax,ay,az,q0,q1,q2,q3
8005756,-726.0,6203.0,-838.0,0.618,0.684,0.3,0.247
8005772,-1328.0,7431.0,112.0,0.618,0.688,0.292,0.245
8005788,-1254.0,8503.0,640.0,0.618,0.692,0.283,0.243
8005804,-1252.0,9465.0,678.0,0.618,0.697,0.273,0.24
8005820,-1014.0,9749.0,308.0,0.618,0.702,0.264,0.236
8005846,-598.0,11421.0,-1106.0,0.62,0.705,0.254,0.233
8005862,-370.0,11527.0,-1628.0,0.626,0.704,0.243,0.233
8005878,-828.0,8929.0,-646.0,0.634,0.7,0.232,0.234
8005895,-670.0,5559.0,170.0,0.642,0.696,0.221,0.234
8005911,254.0,4897.0,-260.0,0.646,0.695,0.213,0.233
8005928,622.0,6633.0,-724.0,0.647,0.695,0.21,0.231
8005944,1250.0,7995.0,-832.0,0.647,0.696,0.211,0.229
8005961,1162.0,7857.0,-772.0,0.647,0.694,0.215,0.23
8005988,842.0,7799.0,-670.0,0.646,0.692,0.222,0.233
8006005,798.0,7351.0,-888.0,0.645,0.688,0.232,0.237
8006021,646.0,6835.0,-1260.0,0.643,0.684,0.244,0.243
8006037,326.0,6351.0,-1094.0,0.639,0.68,0.259,0.248
8006053,-430.0,6775.0,-986.0,0.633,0.678,0.276,0.252
8006069,-1238.0,8073.0,-486.0,0.626,0.676,0.293,0.256
8006086,-1742.0,9203.0,-90.0,0.619,0.674,0.308,0.259
8006112,-1972.0,9885.0,-110.0,0.614,0.672,0.319,0.262
8006129,-2414.0,9619.0,-66.0,0.611,0.67,0.327,0.265
8006146,-2892.0,9741.0,572.0,0.61,0.669,0.331,0.266
8006162,-2918.0,9449.0,832.0,0.612,0.667,0.33,0.267
8006178,-2564.0,9025.0,612.0,0.616,0.667,0.326,0.265
8006194,-1952.0,8841.0,238.0,0.62,0.667,0.319,0.262
8006210,-1386.0,8915.0,-172.0,0.626,0.667,0.31,0.259
8006236,-928.0,8347.0,-378.0,0.633,0.666,0.301,0.256
8006252,-638.0,7537.0,-282.0,0.639,0.665,0.292,0.254
8006268,-266.0,7453.0,-122.0,0.643,0.665,0.284,0.251
8006284,-54.0,6967.0,-148.0,0.647,0.665,0.278,0.249
8006300,-312.0,6853.0,-292.0,0.648,0.666,0.274,0.246
8006316,14.0,8237.0,-316.0,0.649,0.668,0.272,0.245
8006342,-494.0,7663.0,56.0,0.65,0.667,0.27,0.244
8006358,-888.0,8061.0,338.0,0.651,0.667,0.27,0.244
8006374,-814.0,8287.0,438.0,0.651,0.666,0.27,0.244
8006390,-990.0,8097.0,480.0,0.652,0.665,0.27,0.244
8006406,-1028.0,8251.0,394.0,0.652,0.664,0.271,0.244
8006423,-1068.0,8293.0,280.0,0.653,0.664,0.272,0.244
8006439,-1220.0,8145.0,396.0,0.653,0.663,0.273,0.245
8006465,-1156.0,7961.0,386.0,0.653,0.662,0.274,0.245
8006481,-1356.0,8297.0,406.0,0.653,0.662,0.275,0.245
8006497,-1106.0,8371.0,450.0,0.653,0.662,0.276,0.245
8006514,-914.0,8097.0,366.0,0.653,0.662,0.276,0.245
8006530,-942.0,7987.0,570.0,0.652,0.662,0.276,0.246
8006546,-638.0,7727.0,372.0,0.652,0.662,0.276,0.246
8006563,-642.0,8415.0,434.0,0.651,0.663,0.276,0.246
8006590,-598.0,8635.0,504.0,0.651,0.664,0.275,0.246
8006606,-886.0,7905.0,762.0,0.651,0.664,0.274,0.246
8006622,-696.0,8253.0,654.0,0.65,0.665,0.272,0.246
8006638,-390.0,8491.0,466.0,0.65,0.666,0.271,0.246
8006654,-322.0,8195.0,178.0,0.65,0.666,0.27,0.246
8006670,-380.0,8209.0,286.0,0.65,0.667,0.269,0.246
8006696,-554.0,8039.0,346.0,0.65,0.667,0.268,0.247
8006713,-714.0,7811.0,464.0,0.65,0.667,0.268,0.246
8006730,-708.0,7957.0,400.0,0.649,0.669,0.267,0.246
8006746,-560.0,8161.0,114.0,0.648,0.67,0.267,0.245
8006762,-696.0,8269.0,160.0,0.647,0.67,0.268,0.245
8006778,-764.0,8239.0,192.0,0.646,0.671,0.268,0.245
8006795,-808.0,8213.0,242.0,0.645,0.672,0.269,0.245
8006811,-916.0,8235.0,256.0,0.644,0.673,0.269,0.245
8006837,-642.0,8065.0,76.0,0.643,0.674,0.27,0.246
8006853,-456.0,8191.0,-74.0,0.641,0.675,0.271,0.246
8006869,-520.0,8327.0,-96.0,0.639,0.675,0.272,0.247
8006886,-724.0,8405.0,26.0,0.638,0.675,0.274,0.249
8006902,-722.0,8361.0,-68.0,0.636,0.676,0.275,0.251
8006919,-594.0,8201.0,-96.0,0.635,0.676,0.276,0.252
8006936,-510.0,8171.0,-178.0,0.634,0.675,0.278,0.254
8006953,-506.0,8107.0,-244.0,0.633,0.675,0.279,0.256
8006970,-458.0,8109.0,-188.0,0.632,0.675,0.281,0.258
8006997,-414.0,8101.0,-214.0,0.63,0.675,0.283,0.259
8007014,-364.0,8107.0,-220.0,0.629,0.675,0.284,0.261
8007030,-398.0,8289.0,-228.0,0.628,0.675,0.286,0.262
