timeMs,ax,ay,az,q0,q1,q2,q3
3854280,-2294.0,7894.0,175.0,0.663,0.606,0.37,0.237
3854306,-2368.0,7942.0,187.0,0.662,0.606,0.371,0.238
3854322,-2210.0,7736.0,173.0,0.66,0.607,0.372,0.238
3854339,-2144.0,7746.0,19.0,0.659,0.608,0.373,0.238
3854355,-2112.0,8730.0,-541.0,0.658,0.609,0.375,0.238
3854371,-2246.0,9076.0,-415.0,0.658,0.608,0.375,0.239
3854387,-2064.0,7986.0,73.0,0.659,0.606,0.374,0.241
3854403,-2082.0,6958.0,245.0,0.659,0.605,0.374,0.243
3854429,-2152.0,7138.0,339.0,0.659,0.606,0.374,0.244
3854445,-2312.0,7566.0,377.0,0.658,0.606,0.374,0.243
3854461,-2290.0,7794.0,151.0,0.657,0.607,0.374,0.243
3854477,-2196.0,8010.0,-11.0,0.656,0.609,0.374,0.242
3854493,-2060.0,8368.0,-353.0,0.656,0.609,0.374,0.242
3854510,-2126.0,8334.0,-305.0,0.656,0.609,0.373,0.242
3854527,-2258.0,8046.0,59.0,0.657,0.609,0.373,0.243
3854554,-2132.0,7668.0,263.0,0.658,0.608,0.372,0.243
3854571,-2076.0,7570.0,309.0,0.658,0.609,0.371,0.244
3854588,-1916.0,7640.0,213.0,0.658,0.609,0.37,0.244
3854604,-1906.0,7710.0,63.0,0.658,0.609,0.37,0.243
3854620,-2024.0,7834.0,-17.0,0.657,0.61,0.37,0.243
3854637,-2052.0,7850.0,35.0,0.657,0.611,0.37,0.244
3854654,-2066.0,7788.0,185.0,0.656,0.612,0.37,0.243
3854670,-2098.0,7870.0,181.0,0.655,0.613,0.37,0.243
3854686,-1994.0,8160.0,-87.0,0.654,0.614,0.37,0.243
3854713,-1892.0,8106.0,-183.0,0.653,0.614,0.37,0.243
3854730,-1904.0,7850.0,-63.0,0.653,0.614,0.37,0.243
3854747,-2012.0,7814.0,47.0,0.652,0.615,0.371,0.244
3854764,-1920.0,7850.0,-45.0,0.652,0.615,0.371,0.244
3854781,-1916.0,7946.0,-5.0,0.651,0.615,0.372,0.244
3854797,-1980.0,7956.0,-15.0,0.65,0.615,0.372,0.245
3854813,-2010.0,7956.0,-159.0,0.65,0.615,0.373,0.245
3854830,-1924.0,8076.0,-241.0,0.649,0.615,0.374,0.246
3854847,-1868.0,7900.0,-95.0,0.649,0.614,0.375,0.247
3854864,-2032.0,7794.0,131.0,0.649,0.614,0.376,0.247
3854890,-2044.0,7868.0,97.0,0.649,0.614,0.376,0.248
3854907,-1934.0,7994.0,-11.0,0.648,0.613,0.376,0.248
3854924,-2076.0,8062.0,9.0,0.648,0.613,0.377,0.249
3854940,-1872.0,7912.0,-85.0,0.648,0.613,0.377,0.249
3854957,-1714.0,7986.0,-177.0,0.648,0.613,0.377,0.25
3854973,-1844.0,7966.0,-31.0,0.648,0.613,0.377,0.25
3854990,-1982.0,7940.0,-5.0,0.648,0.613,0.376,0.25
3855007,-1762.0,7828.0,-117.0,0.648,0.613,0.376,0.251
3855024,-1716.0,7806.0,-221.0,0.648,0.613,0.376,0.251
3855041,-1820.0,7970.0,-25.0,0.648,0.613,0.377,0.251
3855058,-1988.0,7966.0,13.0,0.648,0.613,0.377,0.251
3855085,-1808.0,7822.0,-29.0,0.648,0.612,0.377,0.251
3855102,-1766.0,7996.0,-99.0,0.648,0.612,0.377,0.251
3855119,-1872.0,7946.0,-37.0,0.648,0.612,0.378,0.252
3855135,-1838.0,7954.0,-129.0,0.648,0.612,0.378,0.252
3855151,-1838.0,7916.0,-37.0,0.647,0.611,0.379,0.252
3855168,-1988.0,7994.0,-13.0,0.647,0.611,0.379,0.253
3855185,-1914.0,7992.0,-45.0,0.647,0.611,0.38,0.253
3855202,-1838.0,7804.0,-71.0,0.647,0.61,0.38,0.253
3855219,-1814.0,7914.0,-61.0,0.647,0.61,0.381,0.254
3855236,-1898.0,7958.0,53.0,0.647,0.61,0.382,0.254
3855262,-1912.0,7848.0,-63.0,0.646,0.609,0.382,0.254
3855279,-1856.0,7940.0,-61.0,0.646,0.609,0.383,0.255
3855296,-1940.0,7912.0,-15.0,0.646,0.609,0.384,0.255
3855313,-1896.0,7854.0,21.0,0.646,0.608,0.384,0.255
3855330,-1948.0,8194.0,-223.0,0.646,0.608,0.385,0.256
3855346,-1904.0,8060.0,-45.0,0.646,0.607,0.385,0.256
3855363,-1886.0,7714.0,67.0,0.646,0.606,0.386,0.257
3855381,-1890.0,7800.0,-59.0,0.647,0.606,0.386,0.257
3855398,-1950.0,7914.0,-31.0,0.646,0.605,0.387,0.257
3855414,-1900.0,7768.0,-115.0,0.646,0.605,0.387,0.257
3855430,-2048.0,8176.0,-95.0,0.646,0.605,0.387,0.258
3855456,-2076.0,8096.0,-25.0,0.647,0.604,0.387,0.258
3855473,-1854.0,7826.0,-85.0,0.647,0.604,0.387,0.258
3855490,-1860.0,7838.0,-127.0,0.647,0.604,0.387,0.258
3855506,-1898.0,7968.0,-123.0,0.647,0.604,0.387,0.258
3855522,-1876.0,7920.0,-61.0,0.647,0.604,0.387,0.258
3855538,-2082.0,7916.0,3.0,0.648,0.603,0.387,0.258
3855554,-2028.0,7960.0,-33.0,0.648,0.603,0.387,0.258
3855571,-1870.0,8030.0,-151.0,0.648,0.603,0.387,0.258
3855598,-1910.0,7968.0,-141.0,0.649,0.602,0.387,0.258
3855615,-1960.0,7882.0,-69.0,0.649,0.602,0.387,0.258
3855632,-1924.0,7762.0,-19.0,0.65,0.601,0.387,0.258
3855648,-1938.0,7852.0,-59.0,0.65,0.601,0.387,0.258
3855664,-1954.0,7890.0,21.0,0.65,0.6,0.387,0.258
3855680,-2032.0,7898.0,71.0,0.651,0.6,0.387,0.259
3855696,-1978.0,7932.0,-29.0,0.651,0.599,0.388,0.259
3855713,-1928.0,7884.0,61.0,0.651,0.598,0.388,0.259
3855740,-1948.0,7834.0,143.0,0.652,0.598,0.388,0.259
3855757,-2000.0,7798.0,171.0,0.652,0.597,0.389,0.26
3855774,-2036.0,7850.0,147.0,0.652,0.597,0.389,0.26
3855790,-2022.0,7880.0,95.0,0.652,0.596,0.39,0.26
3855806,-1976.0,7926.0,57.0,0.652,0.596,0.391,0.26
3855822,-2012.0,7862.0,51.0,0.652,0.595,0.392,0.261
3855839,-2068.0,7900.0,117.0,0.651,0.594,0.393,0.261
3855856,-2014.0,7924.0,29.0,0.651,0.594,0.394,0.262
3855872,-2050.0,7842.0,163.0,0.651,0.594,0.394,0.262
3855898,-2074.0,7904.0,221.0,0.651,0.593,0.395,0.262
3855915,-2082.0,7788.0,169.0,0.65,0.593,0.395,0.262
3855932,-2082.0,7902.0,145.0,0.65,0.593,0.396,0.263
3855948,-1992.0,7976.0,-63.0,0.65,0.594,0.396,0.263
3855965,-1954.0,8016.0,-1.0,0.649,0.594,0.396,0.263
3855982,-1968.0,7838.0,121.0,0.649,0.594,0.396,0.264
3855999,-2022.0,7888.0,133.0,0.648,0.594,0.396,0.264
3856015,-1942.0,7906.0,129.0,0.648,0.594,0.397,0.264
3856032,-1870.0,7914.0,27.0,0.648,0.594,0.397,0.264
3856049,-1840.0,8110.0,-159.0,0.647,0.594,0.397,0.265
3856075,-1764.0,7912.0,-117.0,0.647,0.594,0.397,0.265
3856092,-1960.0,8266.0,-121.0,0.647,0.594,0.397,0.266
3856109,-2066.0,8054.0,51.0,0.648,0.593,0.397,0.267
3856125,-1900.0,7770.0,107.0,0.648,0.592,0.397,0.268
3856142,-1818.0,7656.0,33.0,0.649,0.592,0.396,0.268
3856158,-1728.0,7738.0,-99.0,0.648,0.592,0.397,0.269
3856175,-1856.0,7800.0,-71.0,0.648,0.592,0.397,0.269
3856192,-1976.0,7856.0,7.0,0.648,0.592,0.398,0.269
3856208,-2014.0,7864.0,43.0,0.647,0.592,0.398,0.268
3856235,-1960.0,7998.0,3.0,0.647,0.592,0.398,0.268
3856251,-1972.0,7998.0,-41.0,0.647,0.592,0.399,0.268
3856268,-1952.0,7850.0,-39.0,0.647,0.592,0.399,0.268
3856284,-1898.0,7964.0,-63.0,0.647,0.592,0.4,0.267
3856301,-1986.0,7912.0,-15.0,0.647,0.592,0.4,0.267
3856317,-2094.0,7902.0,11.0,0.647,0.591,0.4,0.267
3856333,-2092.0,7956.0,-77.0,0.647,0.591,0.4,0.267
3856359,-2100.0,8020.0,-187.0,0.647,0.591,0.4,0.267
3856376,-2154.0,8040.0,-267.0,0.648,0.591,0.4,0.267
3856393,-2212.0,8084.0,-187.0,0.648,0.591,0.399,0.267
3856410,-2304.0,8118.0,17.0,0.649,0.592,0.397,0.267
3856427,-2436.0,7854.0,167.0,0.649,0.593,0.395,0.267
3856443,-2442.0,7558.0,585.0,0.65,0.595,0.392,0.266
3856460,-2436.0,7460.0,463.0,0.649,0.598,0.388,0.263
3856477,-2232.0,7890.0,9.0,0.649,0.603,0.384,0.261
3856494,-2106.0,8682.0,-275.0,0.649,0.608,0.378,0.258
3856511,-1938.0,8498.0,-103.0,0.65,0.613,0.37,0.256
3856527,-1644.0,7892.0,53.0,0.65,0.618,0.362,0.254
3856554,-1280.0,7768.0,79.0,0.65,0.625,0.353,0.251
3856571,-860.0,7882.0,-67.0,0.649,0.633,0.343,0.248
3856588,-670.0,7528.0,-235.0,0.647,0.641,0.332,0.245
3856605,-1160.0,7880.0,-97.0,0.644,0.65,0.322,0.242
3856622,-896.0,7448.0,-325.0,0.641,0.66,0.312,0.238
3856638,-1014.0,7776.0,-711.0,0.637,0.669,0.304,0.235
3856655,-780.0,8552.0,-1177.0,0.633,0.677,0.296,0.232
3856672,-280.0,8440.0,-1217.0,0.631,0.683,0.288,0.229
3856689,-276.0,8696.0,-839.0,0.629,0.688,0.282,0.227
3856706,-740.0,8838.0,-115.0,0.63,0.691,0.276,0.225
3856723,-608.0,8490.0,471.0,0.631,0.692,0.271,0.223
3856740,-636.0,7834.0,109.0,0.634,0.692,0.267,0.22
3856757,214.0,7540.0,-953.0,0.638,0.689,0.265,0.219
3856784,-44.0,5806.0,-1269.0,0.643,0.684,0.267,0.217
3856801,-460.0,5294.0,-1329.0,0.645,0.68,0.273,0.215
3856817,-52.0,7440.0,-961.0,0.645,0.677,0.283,0.213
3856834,418.0,9840.0,-267.0,0.646,0.672,0.293,0.212
3856850,-374.0,10356.0,-623.0,0.65,0.663,0.303,0.213
3856866,-4.0,8756.0,-645.0,0.655,0.653,0.312,0.216
3856882,-240.0,8392.0,-183.0,0.659,0.643,0.323,0.219
3856908,-1254.0,7828.0,187.0,0.662,0.634,0.333,0.221
3856925,-1968.0,6228.0,897.0,0.664,0.626,0.343,0.222
3856942,-2582.0,7916.0,1289.0,0.663,0.622,0.352,0.222
3856959,-2602.0,8172.0,639.0,0.663,0.619,0.358,0.222
3856975,-2640.0,8058.0,273.0,0.661,0.618,0.363,0.221
3856991,-3020.0,8076.0,-41.0,0.659,0.619,0.367,0.218
3857007,-3222.0,8798.0,29.0,0.658,0.62,0.369,0.216
3857023,-2384.0,9216.0,-161.0,0.658,0.622,0.368,0.214
3857049,-2278.0,9818.0,-425.0,0.66,0.621,0.364,0.213
3857065,-1758.0,9856.0,-677.0,0.666,0.617,0.359,0.215
3857082,-1482.0,9338.0,-583.0,0.674,0.611,0.352,0.219
3857099,-1862.0,7940.0,-841.0,0.682,0.604,0.345,0.224
3857116,-1912.0,6360.0,-693.0,0.69,0.597,0.34,0.23
3857133,-2056.0,5578.0,-229.0,0.694,0.592,0.336,0.234
3857150,-1530.0,5590.0,435.0,0.696,0.588,0.336,0.237
3857167,-1816.0,6132.0,643.0,0.696,0.586,0.338,0.24
3857184,-2590.0,6918.0,1115.0,0.696,0.584,0.341,0.243
3857201,-2022.0,7552.0,2219.0,0.694,0.584,0.343,0.244
3857217,-2020.0,8500.0,1753.0,0.694,0.583,0.345,0.244
3857244,-1958.0,7302.0,1295.0,0.692,0.583,0.347,0.245
3857261,-1424.0,7790.0,1351.0,0.69,0.585,0.349,0.244
