timeMs,ax,ay,az,q0,q1,q2,q3
2580657,3136.0,3834.0,6616.0,0.883,0.3,-0.098,0.347
2580673,3198.0,3916.0,6702.0,0.884,0.3,-0.098,0.346
2580689,3196.0,4058.0,6626.0,0.884,0.299,-0.099,0.346
2580705,3164.0,3908.0,6682.0,0.884,0.298,-0.099,0.346
2580731,3138.0,3696.0,6794.0,0.885,0.297,-0.1,0.345
2580747,3088.0,3744.0,6798.0,0.885,0.296,-0.1,0.344
2580764,3100.0,3788.0,6800.0,0.886,0.296,-0.101,0.343
2580780,3058.0,3548.0,6846.0,0.886,0.295,-0.102,0.342
2580796,3026.0,3592.0,6896.0,0.886,0.295,-0.102,0.342
2580812,3008.0,3606.0,6820.0,0.887,0.295,-0.103,0.341
2580838,3066.0,3544.0,6792.0,0.887,0.295,-0.103,0.34
2580854,3110.0,3638.0,6732.0,0.887,0.295,-0.104,0.34
2580870,3212.0,3664.0,6682.0,0.887,0.296,-0.104,0.34
2580886,3228.0,3756.0,6684.0,0.886,0.296,-0.104,0.34
2580902,3238.0,3738.0,6722.0,0.886,0.297,-0.104,0.34
2580918,3322.0,3862.0,6646.0,0.886,0.298,-0.104,0.34
2580944,3310.0,3864.0,6660.0,0.886,0.298,-0.104,0.341
2580960,3288.0,3964.0,6586.0,0.885,0.298,-0.103,0.341
2580976,3312.0,3934.0,6580.0,0.885,0.299,-0.103,0.341
2580992,3268.0,3890.0,6680.0,0.885,0.299,-0.102,0.342
2581008,3258.0,3898.0,6664.0,0.885,0.299,-0.101,0.342
2581024,3182.0,3896.0,6706.0,0.885,0.299,-0.101,0.343
2581050,3158.0,3972.0,6684.0,0.885,0.299,-0.1,0.343
2581066,3076.0,3898.0,6680.0,0.885,0.298,-0.099,0.343
2581082,3046.0,3884.0,6698.0,0.885,0.298,-0.099,0.344
2581099,3060.0,3860.0,6722.0,0.885,0.298,-0.098,0.344
2581115,3026.0,3768.0,6810.0,0.885,0.297,-0.098,0.344
2581131,3112.0,3758.0,6798.0,0.885,0.297,-0.098,0.344
2581157,2986.0,3792.0,6818.0,0.885,0.297,-0.098,0.344
2581174,2982.0,3672.0,6798.0,0.886,0.297,-0.098,0.343
2581190,3052.0,3740.0,6756.0,0.886,0.297,-0.098,0.343
2581206,3076.0,3730.0,6694.0,0.886,0.298,-0.098,0.343
2581223,3104.0,3798.0,6754.0,0.885,0.298,-0.098,0.343
2581239,3142.0,3822.0,6714.0,0.885,0.298,-0.098,0.343
2581255,3150.0,3846.0,6726.0,0.885,0.299,-0.098,0.343
2581281,3160.0,3840.0,6680.0,0.885,0.299,-0.098,0.343
2581297,3170.0,3944.0,6692.0,0.885,0.299,-0.098,0.344
2581314,3164.0,3914.0,6666.0,0.885,0.299,-0.098,0.344
2581330,3124.0,3976.0,6668.0,0.885,0.299,-0.098,0.344
2581347,3088.0,3916.0,6656.0,0.885,0.299,-0.098,0.344
2581363,3096.0,3950.0,6688.0,0.885,0.299,-0.098,0.344
2581380,3094.0,3928.0,6720.0,0.885,0.299,-0.097,0.344
2581396,3072.0,3892.0,6698.0,0.885,0.299,-0.097,0.344
2581422,3066.0,3842.0,6672.0,0.885,0.299,-0.097,0.344
2581438,3022.0,3848.0,6726.0,0.885,0.299,-0.097,0.344
2581454,3120.0,3822.0,6766.0,0.885,0.299,-0.097,0.344
2581470,3074.0,3780.0,6750.0,0.885,0.299,-0.098,0.344
2581486,3108.0,3820.0,6720.0,0.885,0.299,-0.098,0.344
2581502,3158.0,3816.0,6756.0,0.885,0.299,-0.098,0.344
2581519,3122.0,3796.0,6680.0,0.885,0.299,-0.098,0.344
2581545,3144.0,3820.0,6700.0,0.885,0.299,-0.098,0.344
2581562,3178.0,3764.0,6698.0,0.885,0.299,-0.098,0.344
2581578,3120.0,3832.0,6660.0,0.885,0.299,-0.098,0.344
2581595,3084.0,3804.0,6688.0,0.885,0.299,-0.098,0.344
2581611,3096.0,3778.0,6756.0,0.885,0.299,-0.098,0.344
2581627,3090.0,3854.0,6704.0,0.885,0.299,-0.098,0.343
2581643,3048.0,3818.0,6696.0,0.885,0.299,-0.099,0.343
2581669,3088.0,3872.0,6700.0,0.885,0.299,-0.099,0.343
2581686,3106.0,3862.0,6658.0,0.885,0.299,-0.099,0.343
2581702,3140.0,3840.0,6632.0,0.885,0.3,-0.099,0.343
2581718,3154.0,3900.0,6666.0,0.885,0.3,-0.099,0.343
2581734,3134.0,3906.0,6706.0,0.884,0.3,-0.1,0.343
2581750,3118.0,3880.0,6682.0,0.884,0.3,-0.1,0.344
2581776,3144.0,3936.0,6700.0,0.884,0.3,-0.1,0.344
2581793,3194.0,3914.0,6676.0,0.884,0.3,-0.1,0.344
2581809,3182.0,3858.0,6752.0,0.884,0.3,-0.1,0.344
2581825,3184.0,3834.0,6698.0,0.884,0.3,-0.1,0.344
2581841,3186.0,3850.0,6644.0,0.884,0.3,-0.1,0.344
2581858,3128.0,3796.0,6694.0,0.884,0.299,-0.1,0.344
2581874,3136.0,3816.0,6664.0,0.884,0.299,-0.1,0.344
2581891,3150.0,3774.0,6696.0,0.884,0.299,-0.1,0.344
2581917,3158.0,3786.0,6682.0,0.884,0.299,-0.101,0.344
2581933,3152.0,3818.0,6720.0,0.884,0.299,-0.101,0.344
2581950,3148.0,3800.0,6698.0,0.884,0.3,-0.1,0.344
2581966,3150.0,3834.0,6700.0,0.884,0.3,-0.1,0.344
2581982,3180.0,3874.0,6662.0,0.884,0.3,-0.1,0.344
2581998,3166.0,3890.0,6666.0,0.884,0.3,-0.1,0.344
2582015,3110.0,3872.0,6668.0,0.884,0.3,-0.1,0.344
2582041,3116.0,3866.0,6710.0,0.884,0.3,-0.1,0.344
2582058,3152.0,3824.0,6646.0,0.884,0.3,-0.1,0.344
2582075,3136.0,3892.0,6658.0,0.884,0.3,-0.1,0.344
2582092,3176.0,3862.0,6694.0,0.884,0.3,-0.1,0.344
2582109,3160.0,3870.0,6680.0,0.884,0.3,-0.1,0.344
2582125,3164.0,3900.0,6654.0,0.884,0.301,-0.1,0.344
2582141,3172.0,3852.0,6676.0,0.884,0.301,-0.1,0.344
2582157,3166.0,3854.0,6714.0,0.884,0.301,-0.1,0.344
2582183,3090.0,3902.0,6746.0,0.884,0.301,-0.1,0.344
2582199,3202.0,3872.0,6662.0,0.884,0.301,-0.099,0.344
2582215,3148.0,3866.0,6660.0,0.884,0.301,-0.099,0.344
2582232,3184.0,3888.0,6650.0,0.884,0.301,-0.099,0.344
2582249,3168.0,3866.0,6606.0,0.884,0.301,-0.099,0.344
2582266,3158.0,3906.0,6584.0,0.884,0.301,-0.099,0.344
2582286,3142.0,3868.0,6676.0,0.884,0.301,-0.099,0.344
2582302,3176.0,3856.0,6702.0,0.884,0.301,-0.099,0.344
2582319,3126.0,3882.0,6734.0,0.884,0.301,-0.099,0.344
2582336,3090.0,3858.0,6660.0,0.884,0.301,-0.098,0.344
2582353,3106.0,3886.0,6676.0,0.884,0.301,-0.098,0.344
2582370,3086.0,3878.0,6666.0,0.884,0.301,-0.098,0.344
2582396,3126.0,3894.0,6688.0,0.884,0.301,-0.098,0.345
2582412,3122.0,3886.0,6670.0,0.884,0.301,-0.098,0.345
2582428,3092.0,3906.0,6676.0,0.884,0.301,-0.098,0.345
2582444,3138.0,3914.0,6684.0,0.884,0.301,-0.098,0.345
2582460,3084.0,3912.0,6750.0,0.884,0.301,-0.098,0.345
2582476,3104.0,3922.0,6676.0,0.884,0.301,-0.098,0.345
2582502,3130.0,3944.0,6666.0,0.884,0.301,-0.098,0.345
2582518,3158.0,3906.0,6732.0,0.884,0.301,-0.098,0.345
2582535,3150.0,3914.0,6664.0,0.884,0.301,-0.098,0.345
2582552,3102.0,3908.0,6648.0,0.884,0.3,-0.098,0.345
2582568,3096.0,3878.0,6718.0,0.884,0.3,-0.098,0.345
2582585,3112.0,3920.0,6710.0,0.884,0.3,-0.098,0.345
2582601,3148.0,3930.0,6742.0,0.884,0.3,-0.098,0.345
2582618,3136.0,3928.0,6674.0,0.884,0.3,-0.098,0.345
2582635,3082.0,3978.0,6650.0,0.884,0.299,-0.098,0.345
2582661,3082.0,3924.0,6648.0,0.884,0.299,-0.098,0.345
2582677,3052.0,3904.0,6622.0,0.885,0.298,-0.098,0.345
2582693,3084.0,3844.0,6686.0,0.885,0.298,-0.098,0.344
2582710,3102.0,3828.0,6734.0,0.885,0.297,-0.098,0.344
2582726,3082.0,3816.0,6768.0,0.886,0.297,-0.098,0.344
2582742,3140.0,3742.0,6748.0,0.886,0.296,-0.098,0.343
2582759,3114.0,3686.0,6746.0,0.886,0.295,-0.098,0.343
2582785,3100.0,3672.0,6724.0,0.887,0.295,-0.098,0.343
2582801,3122.0,3550.0,6782.0,0.887,0.295,-0.098,0.343
2582817,3138.0,3626.0,6846.0,0.887,0.295,-0.098,0.342
2582833,3112.0,3618.0,6830.0,0.887,0.295,-0.098,0.342
2582849,3170.0,3670.0,6784.0,0.887,0.295,-0.097,0.342
2582865,3178.0,3686.0,6770.0,0.887,0.295,-0.097,0.342
2582891,3200.0,3742.0,6680.0,0.887,0.296,-0.097,0.342
2582907,3196.0,3806.0,6678.0,0.886,0.296,-0.097,0.342
2582923,3178.0,3830.0,6700.0,0.886,0.297,-0.097,0.342
2582939,3108.0,3804.0,6728.0,0.886,0.297,-0.096,0.342
2582955,3082.0,3834.0,6726.0,0.886,0.297,-0.096,0.342
2582971,3080.0,3860.0,6670.0,0.886,0.297,-0.096,0.342
