timeMs,ax,ay,az,q0,q1,q2,q3
789172,3684.0,3940.0,6324.0,0.672,0.345,0.011,0.655
789189,3668.0,3966.0,6334.0,0.672,0.345,0.011,0.655
789205,3632.0,3970.0,6350.0,0.672,0.345,0.011,0.656
789231,3632.0,4000.0,6354.0,0.671,0.345,0.011,0.656
789247,3620.0,3954.0,6334.0,0.671,0.345,0.011,0.656
789263,3656.0,3980.0,6322.0,0.671,0.345,0.011,0.656
789279,3620.0,3976.0,6376.0,0.671,0.345,0.011,0.656
789295,3624.0,3998.0,6332.0,0.671,0.345,0.011,0.656
789312,3636.0,3978.0,6304.0,0.671,0.345,0.011,0.656
789328,3568.0,4010.0,6350.0,0.672,0.345,0.011,0.656
789355,3610.0,3950.0,6354.0,0.672,0.345,0.011,0.656
789371,3616.0,3940.0,6350.0,0.672,0.345,0.011,0.656
789387,3622.0,3922.0,6316.0,0.672,0.345,0.011,0.656
789403,3608.0,3948.0,6320.0,0.672,0.345,0.011,0.656
789419,3560.0,4004.0,6382.0,0.672,0.345,0.011,0.656
789435,3612.0,3950.0,6372.0,0.672,0.345,0.011,0.656
789452,3612.0,3942.0,6336.0,0.671,0.345,0.011,0.656
789478,3622.0,3982.0,6320.0,0.671,0.345,0.011,0.656
789494,3644.0,3978.0,6344.0,0.671,0.345,0.011,0.656
789510,3648.0,4008.0,6352.0,0.671,0.345,0.011,0.656
789526,3636.0,3976.0,6322.0,0.671,0.345,0.011,0.656
789542,3648.0,3990.0,6316.0,0.671,0.345,0.012,0.656
789558,3630.0,3962.0,6318.0,0.671,0.345,0.012,0.656
789584,3602.0,3974.0,6328.0,0.671,0.345,0.012,0.656
789601,3622.0,3962.0,6304.0,0.671,0.345,0.012,0.656
789617,3598.0,3948.0,6362.0,0.671,0.345,0.012,0.656
789633,3666.0,3998.0,6336.0,0.671,0.345,0.012,0.656
789649,3606.0,3992.0,6364.0,0.671,0.345,0.012,0.656
789666,3624.0,3988.0,6312.0,0.671,0.345,0.012,0.656
789682,3612.0,3958.0,6338.0,0.671,0.345,0.012,0.656
789708,3614.0,4028.0,6332.0,0.671,0.345,0.012,0.656
789724,3588.0,3992.0,6330.0,0.671,0.345,0.012,0.656
789740,3648.0,3980.0,6310.0,0.671,0.345,0.012,0.656
789756,3650.0,3972.0,6328.0,0.671,0.345,0.012,0.656
789772,3614.0,3946.0,6364.0,0.671,0.345,0.012,0.656
789788,3590.0,3932.0,6340.0,0.671,0.345,0.012,0.656
789814,3606.0,3930.0,6330.0,0.671,0.345,0.012,0.656
789830,3552.0,3964.0,6398.0,0.671,0.345,0.012,0.656
789846,3616.0,4008.0,6342.0,0.671,0.345,0.012,0.656
789862,3646.0,3996.0,6324.0,0.671,0.345,0.012,0.656
789878,3612.0,4028.0,6314.0,0.671,0.345,0.012,0.656
789895,3578.0,3974.0,6382.0,0.671,0.345,0.012,0.656
789912,3610.0,3984.0,6338.0,0.671,0.345,0.012,0.656
789939,3636.0,4004.0,6314.0,0.671,0.345,0.012,0.656
789955,3538.0,4002.0,6298.0,0.671,0.345,0.012,0.656
789971,3608.0,3946.0,6322.0,0.671,0.345,0.012,0.656
789987,3614.0,4010.0,6360.0,0.671,0.345,0.012,0.656
790003,3566.0,4010.0,6322.0,0.671,0.345,0.012,0.656
790020,3576.0,3968.0,6366.0,0.671,0.345,0.012,0.656
790036,3558.0,3914.0,6350.0,0.671,0.345,0.012,0.656
790062,3590.0,3992.0,6380.0,0.671,0.345,0.012,0.656
790079,3566.0,3984.0,6378.0,0.671,0.345,0.012,0.656
790095,3538.0,3992.0,6346.0,0.671,0.345,0.012,0.656
790111,3612.0,3992.0,6332.0,0.671,0.345,0.012,0.656
790127,3640.0,3966.0,6344.0,0.672,0.345,0.012,0.656
790143,3644.0,3922.0,6376.0,0.672,0.345,0.012,0.656
790169,3640.0,3978.0,6344.0,0.672,0.345,0.012,0.656
790185,3622.0,4004.0,6330.0,0.672,0.345,0.012,0.656
790202,3584.0,3942.0,6380.0,0.672,0.345,0.012,0.656
790218,3596.0,3992.0,6324.0,0.672,0.345,0.012,0.656
790234,3598.0,3992.0,6352.0,0.672,0.345,0.012,0.656
790250,3608.0,3980.0,6354.0,0.672,0.345,0.012,0.656
790267,3620.0,4028.0,6366.0,0.672,0.345,0.012,0.656
