timeMs,ax,ay,az,q0,q1,q2,q3
1733677,3070.0,3174.0,7116.0,0.86,0.269,-0.099,0.422
1733694,3066.0,3144.0,7100.0,0.86,0.269,-0.099,0.422
1733710,3046.0,3184.0,7076.0,0.86,0.269,-0.099,0.422
1733736,3012.0,3200.0,7084.0,0.86,0.269,-0.099,0.422
1733752,2982.0,3224.0,7100.0,0.86,0.269,-0.099,0.422
1733769,3058.0,3184.0,7094.0,0.86,0.269,-0.099,0.422
1733785,3034.0,3154.0,7092.0,0.86,0.269,-0.099,0.422
1733802,3020.0,3168.0,7094.0,0.86,0.268,-0.099,0.422
1733818,3022.0,3200.0,7056.0,0.86,0.268,-0.099,0.422
1733834,3010.0,3140.0,7124.0,0.86,0.268,-0.099,0.422
1733860,3026.0,3216.0,7106.0,0.86,0.268,-0.099,0.422
1733876,3076.0,3188.0,7098.0,0.86,0.268,-0.099,0.422
1733892,3022.0,3152.0,7154.0,0.86,0.268,-0.099,0.422
1733910,3014.0,3166.0,7116.0,0.86,0.268,-0.099,0.422
1733926,3044.0,3156.0,7136.0,0.86,0.268,-0.099,0.422
1733942,3080.0,3190.0,7104.0,0.86,0.268,-0.099,0.422
1733959,3066.0,3134.0,7102.0,0.86,0.268,-0.1,0.423
1733985,3108.0,3186.0,7056.0,0.86,0.268,-0.1,0.423
1734001,3106.0,3074.0,7074.0,0.86,0.268,-0.1,0.423
1734018,3126.0,3202.0,7028.0,0.86,0.268,-0.101,0.423
1734035,3094.0,3154.0,7062.0,0.859,0.268,-0.101,0.423
1734052,3088.0,3146.0,7034.0,0.859,0.268,-0.101,0.423
1734068,3104.0,3288.0,7106.0,0.859,0.268,-0.102,0.424
1734084,3080.0,3184.0,7130.0,0.859,0.268,-0.102,0.424
1734101,3024.0,3132.0,7146.0,0.859,0.268,-0.103,0.424
1734117,3046.0,3196.0,7150.0,0.859,0.268,-0.104,0.425
1734144,3046.0,3104.0,7076.0,0.858,0.268,-0.105,0.425
1734161,3066.0,3154.0,7066.0,0.858,0.268,-0.106,0.425
1734177,3168.0,3174.0,7048.0,0.858,0.268,-0.107,0.425
1734193,3176.0,3116.0,7066.0,0.858,0.268,-0.108,0.425
1734210,3236.0,3052.0,7026.0,0.858,0.268,-0.109,0.425
1734226,3272.0,3074.0,7054.0,0.857,0.268,-0.11,0.425
1734242,3308.0,3102.0,7024.0,0.857,0.267,-0.111,0.426
1734259,3328.0,3108.0,7042.0,0.857,0.267,-0.112,0.426
1734285,3338.0,3052.0,7020.0,0.857,0.267,-0.114,0.426
1734302,3286.0,3000.0,7034.0,0.857,0.266,-0.115,0.426
