timeMs,ax,ay,az,q0,q1,q2,q3
2586345,-2109.0,4833.0,6394.0,0.777,0.324,-0.057,-0.536
2586362,-2165.0,4761.0,6428.0,0.777,0.324,-0.057,-0.536
2586381,-2199.0,4507.0,6500.0,0.778,0.323,-0.056,-0.536
2586399,-2131.0,4579.0,6554.0,0.778,0.323,-0.056,-0.537
2586417,-2013.0,4591.0,6528.0,0.778,0.323,-0.056,-0.537
2586439,-2115.0,4681.0,6490.0,0.777,0.323,-0.057,-0.537
2586460,-2091.0,4781.0,6500.0,0.777,0.323,-0.057,-0.537
2586481,-2059.0,4703.0,6484.0,0.777,0.323,-0.057,-0.537
2586493,-2121.0,4625.0,6508.0,0.778,0.322,-0.057,-0.537
2586514,-2123.0,4691.0,6516.0,0.778,0.322,-0.057,-0.537
2586525,-2071.0,4709.0,6452.0,0.778,0.322,-0.057,-0.537
2586545,-2111.0,4799.0,6498.0,0.778,0.322,-0.057,-0.537
2586564,-2145.0,4737.0,6468.0,0.778,0.322,-0.057,-0.537
2586585,-2109.0,4721.0,6462.0,0.778,0.321,-0.056,-0.537
2586596,-2091.0,4645.0,6542.0,0.778,0.321,-0.056,-0.537
2586618,-2097.0,4611.0,6576.0,0.778,0.321,-0.056,-0.537
2586640,-2181.0,4779.0,6510.0,0.778,0.32,-0.056,-0.537
2586651,-2161.0,4911.0,6380.0,0.779,0.32,-0.056,-0.537
2586667,-2181.0,5171.0,6328.0,0.779,0.318,-0.055,-0.537
2586686,-2371.0,5129.0,6292.0,0.78,0.316,-0.054,-0.537
2586707,-2573.0,5205.0,6154.0,0.781,0.314,-0.054,-0.537
2586717,-3005.0,5157.0,5890.0,0.781,0.312,-0.054,-0.538
2586738,-3283.0,5443.0,5872.0,0.781,0.31,-0.055,-0.54
2586759,-3199.0,5039.0,6226.0,0.78,0.308,-0.057,-0.542
2586769,-2941.0,4855.0,6586.0,0.778,0.306,-0.06,-0.546
2586788,-2689.0,4811.0,6772.0,0.776,0.303,-0.064,-0.549
2586807,-2603.0,4279.0,6936.0,0.775,0.299,-0.068,-0.552
2586828,-2509.0,4131.0,7242.0,0.775,0.294,-0.073,-0.554
2586848,-2187.0,4161.0,7318.0,0.776,0.289,-0.078,-0.556
2586857,-1781.0,3973.0,7444.0,0.777,0.283,-0.082,-0.557
2586877,-1465.0,4615.0,8396.0,0.778,0.277,-0.086,-0.557
2586897,-1607.0,4403.0,8552.0,0.779,0.272,-0.089,-0.558
2586915,-1109.0,4419.0,8234.0,0.78,0.268,-0.091,-0.558
2586934,-903.0,4301.0,7964.0,0.781,0.264,-0.092,-0.559
2586943,-1227.0,4209.0,7578.0,0.782,0.261,-0.092,-0.559
2586963,-1519.0,4203.0,7192.0,0.783,0.257,-0.09,-0.559
2586981,-1743.0,3693.0,6580.0,0.785,0.252,-0.089,-0.558
2587002,-1961.0,2717.0,5920.0,0.788,0.246,-0.088,-0.558
2587023,-1843.0,2153.0,5586.0,0.79,0.241,-0.089,-0.557
2587034,-1707.0,2417.0,5220.0,0.792,0.236,-0.092,-0.556
2587054,-1045.0,2955.0,5288.0,0.794,0.231,-0.096,-0.554
2587074,-55.0,4035.0,6346.0,0.797,0.224,-0.101,-0.552
2587081,1061.0,5039.0,7072.0,0.8,0.215,-0.104,-0.55
2587099,1297.0,3797.0,6742.0,0.803,0.205,-0.107,-0.548
2587119,1425.0,3549.0,6868.0,0.805,0.198,-0.11,-0.548
2587140,1073.0,3251.0,7026.0,0.806,0.192,-0.11,-0.549
2587160,409.0,3449.0,7240.0,0.807,0.188,-0.11,-0.55
2587179,-181.0,3067.0,7218.0,0.808,0.183,-0.11,-0.549
2587188,-165.0,2889.0,7722.0,0.811,0.178,-0.11,-0.547
2587209,333.0,2777.0,8168.0,0.814,0.173,-0.111,-0.543
2587229,1525.0,4059.0,8926.0,0.816,0.171,-0.112,-0.541
2587246,881.0,4545.0,9210.0,0.817,0.171,-0.112,-0.539
2587264,161.0,3629.0,8150.0,0.818,0.172,-0.112,-0.537
2587284,-69.0,2799.0,7418.0,0.82,0.172,-0.111,-0.534
2587293,-149.0,2659.0,7288.0,0.822,0.172,-0.11,-0.531
2587310,-437.0,2569.0,7140.0,0.824,0.172,-0.108,-0.529
