timeMs,ax,ay,az,q0,q1,q2,q3
6375907,7860.0,2332.0,1440.0,0.499,0.583,-0.267,0.583
6375923,7812.0,2358.0,1496.0,0.5,0.582,-0.268,0.583
6375939,7810.0,2302.0,1496.0,0.501,0.582,-0.269,0.582
6375965,7834.0,2244.0,1498.0,0.502,0.581,-0.27,0.581
6375982,7802.0,2194.0,1550.0,0.503,0.58,-0.272,0.58
6375998,7878.0,2126.0,1558.0,0.504,0.58,-0.273,0.579
6376014,7866.0,2050.0,1544.0,0.505,0.579,-0.274,0.579
6376030,7840.0,2054.0,1530.0,0.506,0.578,-0.275,0.578
6376046,7866.0,2112.0,1538.0,0.507,0.578,-0.275,0.578
6376063,7906.0,2196.0,1548.0,0.507,0.577,-0.276,0.577
6376089,7848.0,2114.0,1550.0,0.508,0.576,-0.277,0.577
6376105,7886.0,2022.0,1540.0,0.509,0.576,-0.278,0.576
6376121,7812.0,1948.0,1550.0,0.51,0.575,-0.279,0.576
6376137,7910.0,1918.0,1562.0,0.511,0.575,-0.279,0.576
6376153,7866.0,1984.0,1538.0,0.511,0.574,-0.279,0.575
6376169,7860.0,2048.0,1534.0,0.511,0.574,-0.279,0.575
6376195,7814.0,2080.0,1554.0,0.511,0.574,-0.279,0.575
6376211,7852.0,2070.0,1578.0,0.511,0.574,-0.28,0.575
6376227,7840.0,2048.0,1592.0,0.511,0.574,-0.28,0.575
6376243,7766.0,2067.0,1573.0,0.512,0.573,-0.281,0.575
6376259,7789.0,2109.0,1568.0,0.512,0.573,-0.281,0.575
6376276,7872.0,2162.0,1585.0,0.512,0.573,-0.282,0.575
6376302,7798.0,2198.0,1600.0,0.512,0.572,-0.282,0.575
6376319,7858.0,2177.0,1516.0,0.512,0.572,-0.283,0.575
6376335,7880.0,2179.0,1553.0,0.512,0.572,-0.283,0.575
6376352,7847.0,2213.0,1561.0,0.512,0.572,-0.284,0.575
6376369,7810.0,2182.0,1533.0,0.512,0.571,-0.284,0.575
6376385,7834.0,2212.0,1491.0,0.512,0.571,-0.285,0.575
6376401,7847.0,2199.0,1573.0,0.513,0.571,-0.285,0.574
6376417,7871.0,2179.0,1587.0,0.513,0.57,-0.286,0.574
6376443,7897.0,2143.0,1619.0,0.514,0.57,-0.286,0.574
6376459,7801.0,2103.0,1579.0,0.514,0.57,-0.287,0.573
6376475,7833.0,2083.0,1595.0,0.515,0.57,-0.287,0.573
6376492,7851.0,2123.0,1597.0,0.515,0.569,-0.288,0.573
6376508,7895.0,2031.0,1561.0,0.515,0.569,-0.288,0.573
6376524,7881.0,2065.0,1529.0,0.516,0.569,-0.288,0.572
6376540,7875.0,2005.0,1577.0,0.516,0.568,-0.289,0.572
6376567,7853.0,2047.0,1581.0,0.517,0.568,-0.289,0.572
6376583,7835.0,2031.0,1531.0,0.517,0.568,-0.289,0.572
6376599,7801.0,2023.0,1569.0,0.517,0.568,-0.29,0.571
6376616,7853.0,2079.0,1571.0,0.517,0.568,-0.29,0.571
6376632,7817.0,2051.0,1583.0,0.518,0.567,-0.29,0.571
6376648,7889.0,2023.0,1611.0,0.518,0.567,-0.291,0.571
6376664,7887.0,1983.0,1529.0,0.518,0.567,-0.291,0.57
6376690,7861.0,1977.0,1561.0,0.518,0.567,-0.291,0.57
6376707,7875.0,2055.0,1545.0,0.519,0.567,-0.292,0.57
6376724,7817.0,2013.0,1563.0,0.519,0.567,-0.292,0.57
