timeMs,ax,ay,az,q0,q1,q2,q3
8279179,3495.0,4521.0,5763.0,0.835,0.276,-0.152,0.451
8279195,4765.0,6635.0,5959.0,0.825,0.286,-0.163,0.458
8279221,7783.0,6983.0,8675.0,0.82,0.294,-0.171,0.461
8279237,12097.0,11279.0,16459.0,0.819,0.299,-0.158,0.463
8279253,1245.0,9971.0,13291.0,0.818,0.3,-0.147,0.468
8279270,1885.0,7557.0,9563.0,0.816,0.297,-0.148,0.474
8279286,3551.0,3817.0,6765.0,0.815,0.289,-0.152,0.478
8279303,2955.0,1545.0,5341.0,0.815,0.284,-0.152,0.482
8279319,2361.0,1257.0,4675.0,0.814,0.285,-0.149,0.484
8279335,3099.0,2235.0,5209.0,0.813,0.287,-0.148,0.485
8279361,3845.0,2903.0,6277.0,0.812,0.288,-0.147,0.486
8279377,4031.0,3005.0,7105.0,0.812,0.288,-0.147,0.487
8279393,4445.0,2927.0,7411.0,0.811,0.288,-0.147,0.488
8279409,4737.0,2965.0,7375.0,0.81,0.289,-0.146,0.489
8279425,4411.0,3041.0,6873.0,0.809,0.291,-0.143,0.491
8279441,4249.0,3161.0,6261.0,0.807,0.295,-0.14,0.492
8279467,4109.0,3655.0,5785.0,0.805,0.299,-0.136,0.493
8279483,4213.0,4413.0,5905.0,0.804,0.301,-0.135,0.494
8279499,4827.0,4551.0,5959.0,0.804,0.302,-0.135,0.495
8279515,4979.0,4303.0,6109.0,0.804,0.3,-0.136,0.495
8279531,5019.0,3759.0,6199.0,0.805,0.296,-0.137,0.495
8279547,5003.0,3201.0,6199.0,0.806,0.291,-0.139,0.496
8279573,5151.0,2737.0,6383.0,0.808,0.285,-0.141,0.496
8279589,5069.0,2231.0,6471.0,0.809,0.279,-0.143,0.497
8279605,5047.0,1775.0,6571.0,0.81,0.273,-0.145,0.498
8279621,5031.0,1471.0,6595.0,0.811,0.267,-0.147,0.499
8279637,4927.0,1161.0,6681.0,0.812,0.262,-0.149,0.5
8279653,4921.0,865.0,6677.0,0.813,0.257,-0.15,0.501
8279679,4815.0,605.0,6509.0,0.813,0.254,-0.151,0.503
8279695,4819.0,769.0,6629.0,0.812,0.251,-0.151,0.504
8279711,4817.0,721.0,6741.0,0.812,0.25,-0.151,0.506
8279727,4975.0,875.0,6743.0,0.811,0.25,-0.15,0.507
8279743,4677.0,1157.0,6661.0,0.81,0.251,-0.148,0.509
8279759,4445.0,1369.0,6735.0,0.808,0.253,-0.146,0.511
8279785,4279.0,1649.0,6717.0,0.806,0.256,-0.144,0.513
8279801,4267.0,2067.0,6753.0,0.804,0.26,-0.141,0.515
8279817,4223.0,2375.0,6701.0,0.802,0.263,-0.139,0.517
8279833,4105.0,2853.0,6671.0,0.8,0.267,-0.137,0.519
8279849,4017.0,3019.0,6839.0,0.799,0.27,-0.134,0.521
8279865,3847.0,2959.0,6803.0,0.797,0.273,-0.132,0.522
8279891,3839.0,3077.0,6655.0,0.796,0.275,-0.131,0.524
8279907,3875.0,3037.0,6745.0,0.795,0.276,-0.129,0.525
8279923,3865.0,3057.0,6697.0,0.793,0.278,-0.128,0.526
8279939,3965.0,3087.0,6659.0,0.792,0.279,-0.126,0.528
8279955,4057.0,3169.0,6615.0,0.792,0.279,-0.125,0.529
8279981,4065.0,3181.0,6565.0,0.791,0.28,-0.125,0.53
8279997,4083.0,3101.0,6609.0,0.791,0.279,-0.124,0.53
8280013,4095.0,2965.0,6573.0,0.791,0.279,-0.124,0.531
8280029,4153.0,2745.0,6597.0,0.791,0.278,-0.125,0.531
8280045,4153.0,2547.0,6699.0,0.791,0.277,-0.125,0.531
8280061,4145.0,2397.0,6731.0,0.791,0.276,-0.125,0.531
8280087,4053.0,2201.0,6727.0,0.792,0.275,-0.125,0.531
8280103,4135.0,2173.0,6729.0,0.792,0.275,-0.125,0.531
8280119,4121.0,2167.0,6723.0,0.792,0.275,-0.125,0.531
8280135,4109.0,2203.0,6703.0,0.791,0.274,-0.125,0.532
8280151,4101.0,2171.0,6647.0,0.791,0.274,-0.125,0.532
8280167,4077.0,2147.0,6689.0,0.791,0.274,-0.126,0.532
8280193,4133.0,2213.0,6741.0,0.791,0.274,-0.126,0.533
8280209,4169.0,2269.0,6795.0,0.79,0.274,-0.126,0.534
8280225,4201.0,2269.0,6703.0,0.79,0.274,-0.126,0.534
8280241,4193.0,2313.0,6651.0,0.789,0.274,-0.127,0.535
8280257,4171.0,2319.0,6649.0,0.789,0.274,-0.127,0.536
8280273,4151.0,2447.0,6623.0,0.788,0.275,-0.127,0.536
8280299,4133.0,2785.0,6487.0,0.787,0.276,-0.127,0.537
8280315,4035.0,2763.0,6879.0,0.787,0.275,-0.127,0.537
8280331,3991.0,2435.0,6797.0,0.786,0.276,-0.128,0.538
8280347,4027.0,2625.0,6717.0,0.786,0.276,-0.128,0.539
8280363,4049.0,2665.0,6611.0,0.785,0.276,-0.128,0.539
8280379,4147.0,2743.0,6619.0,0.785,0.276,-0.129,0.54
8280405,4219.0,2829.0,6657.0,0.784,0.276,-0.129,0.54
8280421,4223.0,2717.0,6635.0,0.784,0.276,-0.129,0.54
8280437,4233.0,2557.0,6617.0,0.784,0.275,-0.13,0.54
8280453,4235.0,2347.0,6641.0,0.784,0.275,-0.13,0.541
8280469,4239.0,2261.0,6661.0,0.784,0.274,-0.131,0.541
8280485,4269.0,2159.0,6679.0,0.784,0.273,-0.131,0.541
8280511,4173.0,2165.0,6741.0,0.784,0.273,-0.131,0.541
8280527,4135.0,2171.0,6705.0,0.784,0.273,-0.131,0.542
8280543,4171.0,2221.0,6699.0,0.784,0.273,-0.131,0.542
8280559,4153.0,2179.0,6745.0,0.784,0.272,-0.131,0.543
8280575,4167.0,2221.0,6713.0,0.784,0.272,-0.131,0.543
8280591,4171.0,2133.0,6661.0,0.783,0.272,-0.131,0.543
8280617,4201.0,2131.0,6681.0,0.783,0.272,-0.131,0.544
8280633,4209.0,2157.0,6705.0,0.783,0.272,-0.131,0.544
8280649,4237.0,2217.0,6703.0,0.782,0.272,-0.131,0.545
8280665,4191.0,2297.0,6717.0,0.782,0.272,-0.13,0.545
8280681,4241.0,2359.0,6715.0,0.781,0.273,-0.13,0.546
8280697,4217.0,2403.0,6691.0,0.781,0.273,-0.129,0.547
8280723,4215.0,2469.0,6735.0,0.781,0.274,-0.129,0.547
8280739,4215.0,2471.0,6697.0,0.78,0.274,-0.128,0.548
