timeMs,ax,ay,az,q0,q1,q2,q3
6688456,4855.0,5210.0,6194.0,0.706,0.139,-0.389,-0.576
6688472,4475.0,5792.0,6418.0,0.707,0.131,-0.386,-0.578
6688489,4887.0,5262.0,6430.0,0.708,0.121,-0.382,-0.582
6688505,4945.0,4222.0,5964.0,0.71,0.111,-0.377,-0.585
6688522,4945.0,3514.0,5804.0,0.711,0.101,-0.374,-0.586
6688548,5077.0,3504.0,5636.0,0.713,0.094,-0.373,-0.586
6688564,5341.0,4128.0,5596.0,0.715,0.089,-0.374,-0.583
6688580,5983.0,4638.0,5748.0,0.717,0.085,-0.375,-0.581
6688596,6079.0,5350.0,5884.0,0.718,0.083,-0.375,-0.58
6688612,6161.0,6094.0,6048.0,0.72,0.08,-0.372,-0.581
6688628,5503.0,4204.0,6000.0,0.721,0.077,-0.368,-0.582
6688654,5495.0,3382.0,5804.0,0.723,0.076,-0.366,-0.582
6688670,5183.0,4132.0,5652.0,0.724,0.078,-0.364,-0.581
6688687,4389.0,4478.0,5666.0,0.726,0.079,-0.362,-0.58
6688704,3833.0,4312.0,5392.0,0.727,0.08,-0.359,-0.579
6688721,3577.0,4242.0,5154.0,0.729,0.079,-0.358,-0.578
6688738,3551.0,3996.0,5096.0,0.73,0.079,-0.358,-0.577
6688754,3305.0,4234.0,5028.0,0.731,0.079,-0.359,-0.575
6688770,3669.0,5184.0,5572.0,0.732,0.078,-0.36,-0.573
6688796,3779.0,5260.0,5952.0,0.733,0.076,-0.359,-0.573
6688812,3735.0,4844.0,6388.0,0.734,0.075,-0.357,-0.573
6688828,3535.0,4406.0,6398.0,0.735,0.074,-0.356,-0.572
6688844,3535.0,4376.0,6472.0,0.736,0.075,-0.356,-0.571
6688860,3643.0,4566.0,6476.0,0.737,0.076,-0.356,-0.57
6688876,3451.0,4456.0,6120.0,0.738,0.078,-0.356,-0.568
6688903,3227.0,4468.0,5852.0,0.739,0.08,-0.356,-0.567
6688920,3321.0,4440.0,5786.0,0.74,0.082,-0.356,-0.565
6688936,3241.0,4426.0,5794.0,0.741,0.083,-0.356,-0.564
6688953,3145.0,4272.0,5878.0,0.742,0.084,-0.356,-0.562
6688970,3241.0,4304.0,5990.0,0.743,0.085,-0.355,-0.561
6688987,3311.0,4250.0,6076.0,0.745,0.085,-0.355,-0.559
6689003,3519.0,4356.0,6128.0,0.746,0.086,-0.355,-0.557
6689019,3691.0,4442.0,6090.0,0.747,0.087,-0.355,-0.555
6689035,3763.0,4374.0,6144.0,0.748,0.088,-0.355,-0.553
6689061,3693.0,4304.0,6152.0,0.75,0.089,-0.355,-0.551
6689077,3657.0,4294.0,5976.0,0.752,0.09,-0.354,-0.549
6689094,3575.0,4164.0,5944.0,0.753,0.091,-0.354,-0.547
6689111,3447.0,4372.0,5772.0,0.754,0.093,-0.354,-0.546
6689128,3311.0,4402.0,5776.0,0.754,0.094,-0.354,-0.545
6689145,3387.0,3964.0,5762.0,0.755,0.095,-0.354,-0.543
6689162,3681.0,3914.0,5864.0,0.756,0.096,-0.355,-0.541
6689179,3899.0,4250.0,6464.0,0.757,0.097,-0.355,-0.539
6689195,4711.0,4544.0,6574.0,0.759,0.098,-0.355,-0.538
6689221,4911.0,5240.0,6440.0,0.76,0.099,-0.354,-0.536
6689237,5493.0,5628.0,6548.0,0.762,0.101,-0.352,-0.535
