timeMs,ax,ay,az,q0,q1,q2,q3
4160696,2179.0,-1290.0,7761.0,0.885,-0.013,-0.158,0.437
4160712,2257.0,-1290.0,7745.0,0.885,-0.014,-0.158,0.437
4160728,2201.0,-1294.0,7749.0,0.885,-0.014,-0.159,0.437
4160744,2249.0,-1330.0,7721.0,0.885,-0.014,-0.159,0.437
4160760,2257.0,-1336.0,7713.0,0.885,-0.014,-0.159,0.436
4160786,2231.0,-1356.0,7743.0,0.885,-0.014,-0.159,0.436
4160802,2247.0,-1410.0,7779.0,0.885,-0.014,-0.16,0.436
4160818,2225.0,-1378.0,7773.0,0.885,-0.014,-0.16,0.436
4160834,2215.0,-1410.0,7767.0,0.885,-0.014,-0.16,0.436
4160850,2275.0,-1464.0,7753.0,0.885,-0.014,-0.16,0.436
4160866,2219.0,-1470.0,7789.0,0.885,-0.014,-0.16,0.436
4160883,2225.0,-1488.0,7743.0,0.885,-0.014,-0.16,0.436
4160909,2249.0,-1434.0,7773.0,0.885,-0.014,-0.16,0.436
4160925,2259.0,-1504.0,7771.0,0.885,-0.014,-0.16,0.436
4160941,2217.0,-1372.0,7769.0,0.886,-0.014,-0.16,0.436
4160957,2295.0,-1354.0,7753.0,0.886,-0.014,-0.16,0.436
4160973,2275.0,-1400.0,7747.0,0.886,-0.014,-0.16,0.436
4160989,2257.0,-1342.0,7763.0,0.886,-0.014,-0.16,0.436
4161015,2309.0,-1342.0,7767.0,0.886,-0.014,-0.16,0.436
4161031,2217.0,-1324.0,7807.0,0.886,-0.013,-0.16,0.436
4161047,2229.0,-1338.0,7739.0,0.886,-0.014,-0.16,0.436
4161063,2221.0,-1328.0,7773.0,0.886,-0.014,-0.16,0.436
4161079,2203.0,-1336.0,7767.0,0.886,-0.014,-0.16,0.436
4161095,2179.0,-1362.0,7759.0,0.886,-0.014,-0.16,0.436
4161121,2267.0,-1386.0,7743.0,0.886,-0.014,-0.16,0.436
4161137,2289.0,-1368.0,7799.0,0.886,-0.014,-0.16,0.436
4161153,2255.0,-1374.0,7769.0,0.886,-0.014,-0.16,0.436
4161169,2285.0,-1414.0,7771.0,0.886,-0.014,-0.16,0.436
4161185,2249.0,-1444.0,7763.0,0.886,-0.014,-0.16,0.436
4161201,2259.0,-1374.0,7753.0,0.886,-0.013,-0.16,0.436
4161227,2267.0,-1358.0,7775.0,0.886,-0.013,-0.16,0.436
4161243,2247.0,-1352.0,7775.0,0.886,-0.013,-0.16,0.436
4161260,2291.0,-1406.0,7721.0,0.886,-0.013,-0.16,0.436
4161276,2225.0,-1386.0,7785.0,0.886,-0.013,-0.16,0.436
4161292,2229.0,-1356.0,7749.0,0.886,-0.013,-0.159,0.436
4161308,2251.0,-1396.0,7779.0,0.886,-0.013,-0.159,0.436
4161334,2237.0,-1386.0,7743.0,0.886,-0.013,-0.159,0.436
4161350,2265.0,-1364.0,7789.0,0.886,-0.013,-0.159,0.436
4161366,2247.0,-1356.0,7821.0,0.886,-0.013,-0.159,0.436
4161382,2187.0,-1364.0,7753.0,0.886,-0.013,-0.159,0.436
4161398,2203.0,-1412.0,7761.0,0.886,-0.013,-0.159,0.436
4161414,2253.0,-1326.0,7741.0,0.886,-0.013,-0.159,0.436
4161440,2199.0,-1352.0,7793.0,0.886,-0.013,-0.159,0.436
4161456,2201.0,-1392.0,7769.0,0.886,-0.013,-0.159,0.436
4161472,2195.0,-1326.0,7753.0,0.886,-0.013,-0.159,0.436
4161488,2195.0,-1326.0,7737.0,0.886,-0.013,-0.159,0.436
4161504,2175.0,-1326.0,7799.0,0.886,-0.013,-0.159,0.436
4161520,2225.0,-1274.0,7773.0,0.886,-0.013,-0.159,0.436
4161546,2233.0,-1338.0,7763.0,0.886,-0.013,-0.159,0.436
4161562,2181.0,-1296.0,7757.0,0.886,-0.013,-0.159,0.436
4161578,2163.0,-1308.0,7783.0,0.886,-0.013,-0.159,0.436
4161594,2231.0,-1380.0,7781.0,0.886,-0.013,-0.159,0.436
4161610,2233.0,-1356.0,7765.0,0.886,-0.013,-0.159,0.436
4161626,2229.0,-1402.0,7787.0,0.886,-0.013,-0.159,0.436
4161652,2279.0,-1422.0,7777.0,0.886,-0.014,-0.159,0.436
4161668,2263.0,-1376.0,7793.0,0.886,-0.014,-0.16,0.436
4161684,2263.0,-1440.0,7757.0,0.886,-0.014,-0.16,0.436
4161700,2245.0,-1460.0,7723.0,0.886,-0.014,-0.16,0.436
4161716,2227.0,-1390.0,7739.0,0.886,-0.014,-0.16,0.436
4161732,2281.0,-1380.0,7779.0,0.886,-0.014,-0.16,0.436
4161758,2263.0,-1404.0,7765.0,0.886,-0.014,-0.159,0.436
4161774,2213.0,-1420.0,7749.0,0.886,-0.014,-0.159,0.436
4161790,2203.0,-1390.0,7799.0,0.886,-0.013,-0.159,0.436
4161806,2235.0,-1366.0,7733.0,0.886,-0.013,-0.159,0.436
4161822,2301.0,-1362.0,7701.0,0.886,-0.013,-0.159,0.436
4161848,2221.0,-1338.0,7745.0,0.886,-0.013,-0.159,0.436
4161864,2235.0,-1384.0,7777.0,0.886,-0.013,-0.159,0.436
4161880,2263.0,-1288.0,7761.0,0.886,-0.013,-0.159,0.436
4161896,2199.0,-1290.0,7739.0,0.886,-0.013,-0.159,0.436
4161912,2237.0,-1372.0,7795.0,0.886,-0.013,-0.159,0.436
4161928,2183.0,-1366.0,7781.0,0.886,-0.013,-0.159,0.436
4161954,2203.0,-1352.0,7805.0,0.886,-0.013,-0.159,0.436
4161970,2203.0,-1378.0,7737.0,0.886,-0.013,-0.159,0.436
4161986,2243.0,-1350.0,7791.0,0.886,-0.013,-0.159,0.436
4162002,2225.0,-1396.0,7775.0,0.886,-0.013,-0.159,0.436
4162018,2231.0,-1370.0,7793.0,0.886,-0.013,-0.159,0.436
4162035,2241.0,-1348.0,7727.0,0.886,-0.013,-0.159,0.436
4162051,2261.0,-1390.0,7807.0,0.886,-0.013,-0.159,0.436
4162077,2251.0,-1380.0,7781.0,0.886,-0.013,-0.159,0.436
4162093,2283.0,-1394.0,7771.0,0.886,-0.013,-0.158,0.436
4162109,2251.0,-1396.0,7769.0,0.886,-0.013,-0.158,0.436
4162125,2235.0,-1362.0,7747.0,0.886,-0.013,-0.158,0.436
4162141,2267.0,-1368.0,7761.0,0.886,-0.013,-0.158,0.436
4162157,2237.0,-1358.0,7785.0,0.886,-0.013,-0.158,0.436
4162183,2251.0,-1388.0,7809.0,0.886,-0.013,-0.158,0.436
4162199,2241.0,-1316.0,7765.0,0.886,-0.013,-0.157,0.436
4162215,2179.0,-1342.0,7835.0,0.886,-0.013,-0.157,0.436
4162231,2239.0,-1378.0,7777.0,0.886,-0.013,-0.157,0.436
4162247,2115.0,-1410.0,7783.0,0.886,-0.013,-0.157,0.436
4162263,2157.0,-1362.0,7753.0,0.886,-0.013,-0.157,0.436
4162290,2185.0,-1378.0,7797.0,0.886,-0.013,-0.157,0.436
4162306,2135.0,-1336.0,7795.0,0.886,-0.012,-0.156,0.436
4162322,2159.0,-1338.0,7717.0,0.886,-0.012,-0.156,0.437
4162338,2191.0,-1334.0,7747.0,0.886,-0.012,-0.156,0.437
4162354,2185.0,-1302.0,7765.0,0.886,-0.012,-0.156,0.437
4162370,2221.0,-1304.0,7735.0,0.886,-0.012,-0.156,0.437
4162396,2201.0,-1342.0,7751.0,0.886,-0.012,-0.155,0.437
4162412,2191.0,-1298.0,7765.0,0.886,-0.012,-0.155,0.437
4162428,2183.0,-1308.0,7753.0,0.886,-0.012,-0.155,0.437
4162444,2195.0,-1318.0,7767.0,0.886,-0.012,-0.155,0.437
4162460,2213.0,-1326.0,7771.0,0.886,-0.012,-0.155,0.437
4162476,2157.0,-1298.0,7781.0,0.886,-0.012,-0.155,0.436
4162502,2173.0,-1334.0,7783.0,0.886,-0.012,-0.155,0.437
4162518,2147.0,-1348.0,7821.0,0.886,-0.012,-0.155,0.437
4162534,2209.0,-1362.0,7769.0,0.886,-0.012,-0.155,0.436
4162550,2151.0,-1300.0,7803.0,0.886,-0.012,-0.155,0.436
4162566,2137.0,-1330.0,7765.0,0.886,-0.012,-0.155,0.436
4162582,2167.0,-1358.0,7827.0,0.886,-0.012,-0.154,0.436
4162608,2199.0,-1280.0,7767.0,0.886,-0.012,-0.154,0.436
4162624,2109.0,-1274.0,7797.0,0.886,-0.012,-0.154,0.436
4162640,2199.0,-1288.0,7819.0,0.886,-0.011,-0.154,0.437
4162656,2183.0,-1230.0,7783.0,0.886,-0.011,-0.154,0.437
4162672,2177.0,-1302.0,7771.0,0.886,-0.011,-0.154,0.436
4162688,2161.0,-1332.0,7793.0,0.886,-0.011,-0.154,0.436
4162714,2211.0,-1280.0,7777.0,0.886,-0.011,-0.154,0.437
4162730,2205.0,-1264.0,7849.0,0.886,-0.011,-0.154,0.437
4162746,2179.0,-1314.0,7767.0,0.886,-0.011,-0.154,0.437
4162762,2165.0,-1326.0,7785.0,0.886,-0.011,-0.154,0.437
4162778,2143.0,-1302.0,7787.0,0.886,-0.011,-0.154,0.437
4162794,2141.0,-1334.0,7815.0,0.886,-0.012,-0.154,0.437
4162820,2137.0,-1330.0,7755.0,0.886,-0.012,-0.154,0.437
4162836,2175.0,-1306.0,7839.0,0.886,-0.012,-0.154,0.437
4162852,2141.0,-1298.0,7765.0,0.886,-0.012,-0.154,0.437
4162868,2189.0,-1318.0,7761.0,0.886,-0.012,-0.155,0.437
4162884,2137.0,-1300.0,7773.0,0.886,-0.012,-0.155,0.437
4162910,2229.0,-1296.0,7795.0,0.886,-0.012,-0.155,0.437
4162926,2175.0,-1302.0,7799.0,0.886,-0.012,-0.155,0.437
4162942,2213.0,-1324.0,7789.0,0.886,-0.012,-0.155,0.437
4162958,2165.0,-1322.0,7749.0,0.886,-0.012,-0.155,0.436
4162974,2189.0,-1310.0,7801.0,0.886,-0.012,-0.156,0.436
4162990,2217.0,-1366.0,7805.0,0.886,-0.012,-0.156,0.436
4163016,2237.0,-1388.0,7791.0,0.886,-0.012,-0.156,0.436
4163032,2209.0,-1320.0,7799.0,0.886,-0.012,-0.156,0.436
4163048,2217.0,-1374.0,7767.0,0.886,-0.012,-0.156,0.436
4163064,2259.0,-1370.0,7777.0,0.886,-0.012,-0.156,0.436
4163080,2235.0,-1338.0,7833.0,0.886,-0.012,-0.156,0.436
4163096,2257.0,-1284.0,7797.0,0.886,-0.012,-0.156,0.436
4163122,2247.0,-1376.0,7829.0,0.886,-0.012,-0.156,0.436
4163138,2251.0,-1344.0,7767.0,0.886,-0.012,-0.156,0.436
4163154,2231.0,-1378.0,7809.0,0.886,-0.012,-0.156,0.436
4163170,2175.0,-1338.0,7757.0,0.886,-0.012,-0.156,0.436
4163186,2181.0,-1312.0,7779.0,0.886,-0.012,-0.156,0.437
4163202,2175.0,-1326.0,7815.0,0.886,-0.012,-0.156,0.437
4163228,2153.0,-1248.0,7773.0,0.886,-0.012,-0.156,0.437
4163244,2165.0,-1292.0,7749.0,0.886,-0.012,-0.156,0.437
4163260,2147.0,-1272.0,7741.0,0.886,-0.012,-0.156,0.437
4163276,2195.0,-1224.0,7787.0,0.886,-0.012,-0.156,0.436
4163292,2193.0,-1206.0,7791.0,0.886,-0.012,-0.156,0.436
4163308,2169.0,-1254.0,7791.0,0.886,-0.012,-0.157,0.436
4163334,2205.0,-1280.0,7803.0,0.886,-0.012,-0.157,0.436
4163350,2229.0,-1302.0,7801.0,0.886,-0.012,-0.157,0.436
4163366,2193.0,-1348.0,7775.0,0.886,-0.012,-0.157,0.436
4163382,2237.0,-1384.0,7749.0,0.886,-0.012,-0.158,0.436
4163398,2215.0,-1430.0,7787.0,0.886,-0.012,-0.158,0.436
4163414,2257.0,-1368.0,7767.0,0.886,-0.012,-0.158,0.436
4163440,2273.0,-1398.0,7741.0,0.886,-0.012,-0.158,0.436
4163456,2217.0,-1388.0,7781.0,0.886,-0.012,-0.158,0.436
4163472,2253.0,-1388.0,7757.0,0.886,-0.012,-0.158,0.436
4163488,2213.0,-1370.0,7747.0,0.886,-0.012,-0.158,0.436
4163504,2211.0,-1382.0,7773.0,0.886,-0.012,-0.158,0.436
